VPNummer	Version	l_r	Wdh	StimID	Bild	Stichwort1	Stichwort2	Bed	bek_unbek	BedTrigger	Taste	Tastencode	RT
VP_18	2	l	211	17	grammophonnadel.bmp	Schallplatte	abtasten	richtig	unbekannt	221	4	204	1839	
VP_18	2	l	211	13	paint_scraper.bmp	von Hand	zentrifugieren	falsch	unbekannt	222	4	204	1357	
VP_18	2	l	211	121	schneebesen.bmp				bekannt	230	1	201	884	
VP_18	2	l	211	118	Siebenmeilenstiefel.bmp	Schritte	vergrößern	richtig	unbekannt	221	4	204	1585	
VP_18	2	l	211	121	gluehbirne.bmp				bekannt	230	1	201	673	
VP_18	2	l	211	48	Flammenwerfer-Aufsatz.bmp	Waffe	entflammen	richtig	unbekannt	221	4	204	1503	
VP_18	2	l	211	70	Morse-Geraet.bmp	Feldanbau	häckseln	falsch	unbekannt	222	4	204	1307	
VP_18	2	l	211	73	mechanisches_tachometer.bmp	Mausefalle	zuschnappen	falsch	unbekannt	222	4	204	1343	
VP_18	2	l	211	121	grill.bmp				bekannt	230	1	201	915	
VP_18	2	l	211	22	anesthesia_inhaler.bmp	Narkosemittel	abgeben	richtig	unbekannt	221	2	202	2163	
VP_18	2	l	211	121	axt.bmp				bekannt	230	1	201	933	
VP_18	2	l	211	121	klavier.bmp				bekannt	230	1	201	730	
VP_18	2	l	211	121	bohrmaschine.bmp				bekannt	230	1	201	649	
VP_18	2	l	211	72	schneekette.bmp	Geschwindigkeit	ermitteln	falsch	unbekannt	222	4	204	1764	
VP_18	2	l	211	75	Tabakschneider.bmp	Flaschen	trocknen	falsch	unbekannt	222	4	204	1824	
VP_18	2	l	211	86	Historische_Waschmaschine.bmp	Kleidung	im Eimer waschen	richtig	unbekannt	221	4	204	1606	
VP_18	2	l	211	83	hebel_fuer_fassbauer.bmp	Fass	anheben	richtig	unbekannt	221	4	204	1523	
VP_18	2	l	211	88	Ball-Wurfmaschine.bmp	Ball	katapultieren	richtig	unbekannt	221	2	202	2784	
VP_18	2	l	211	92	Erzeugt_statische_Ladung.bmp	Musikgerät	stampfen	falsch	unbekannt	222	4	204	1682	
VP_18	2	l	211	121	zirkel.bmp				bekannt	230	1	201	999	
VP_18	2	l	211	104	ninjasterne.bmp	elektrische Spannung	prüfen	falsch	unbekannt	222	4	204	1996	
VP_18	2	l	211	121	kamera.bmp				bekannt	230	1	201	698	
VP_18	2	l	211	100	Luftdruckmessgeraete.bmp	Knochen	sägen	falsch	unbekannt	222	0	0	0	
VP_18	2	l	211	121	maulschluessel.bmp				bekannt	230	1	201	709	
VP_18	2	l	211	121	fueller.bmp				bekannt	230	1	201	1327	
VP_18	2	l	211	121	kinderwagen.bmp				bekannt	230	1	201	539	
VP_18	2	l	211	121	trillerpfeife.bmp				bekannt	230	1	201	808	
VP_18	2	l	211	121	foehn.bmp				bekannt	230	1	201	538	
VP_18	2	l	211	121	regenschirm.bmp				bekannt	230	1	201	426	
VP_18	2	l	211	121	schaufel.bmp				bekannt	230	1	201	543	
VP_18	2	l	211	121	mikrowelle.bmp				bekannt	230	1	201	876	
VP_18	2	l	211	37	Saemaschine.bmp	Fass	öffnen	falsch	unbekannt	222	4	204	1028	
VP_18	2	l	211	121	astschere.bmp				bekannt	230	1	201	798	
VP_18	2	l	211	49	mikrotom.bmp	Mikroskop-Proben	schneiden	richtig	unbekannt	221	4	204	1014	
VP_18	2	l	211	111	Vakuumpumpe.bmp	Luft	abpumpen	richtig	unbekannt	221	4	204	1028	
VP_18	2	l	211	121	hacke.bmp				bekannt	230	4	204	1261	
VP_18	2	l	211	52	mandelnentferner.bmp	Mandeln	operieren	richtig	unbekannt	221	4	204	1227	
VP_18	2	l	211	121	zahnbuerste.bmp				bekannt	230	1	201	814	
VP_18	2	l	211	121	steckdose.bmp				bekannt	230	1	201	620	
VP_18	2	l	211	121	ventilator.bmp				bekannt	230	1	201	570	
VP_18	2	l	211	121	saege.bmp				bekannt	230	1	201	647	
VP_18	2	l	211	34	dosenoeffner_fuer_faesser.bmp	Pflanzenteile	vergrößern	falsch	unbekannt	222	4	204	1281	
