VPNummer	Version	l_r	Wdh	StimID	Bild	Stichwort1	Stichwort2	Bed	bek_unbek	BedTrigger	Taste	Tastencode	RT
VP_01	1	l	211	121	schneebesen.bmp				bekannt	230	1	201	1308	
VP_01	1	l	211	91	zaehlgeraet_fuer_lieferungen.bmp	Lieferungen	abzählen	richtig	unbekannt	221	3	203	1714	
VP_01	1	l	211	121	kassette.bmp				bekannt	230	1	201	902	
VP_01	1	l	211	121	pfeife.bmp				bekannt	230	1	201	1682	
VP_01	1	l	211	121	tischtennisschlaeger.bmp				bekannt	230	1	201	724	
VP_01	1	l	211	17	grammophonnadel.bmp	Ball	katapultieren	falsch	unbekannt	222	4	204	1384	
VP_01	1	l	211	12	trimmdichgeraet.bmp	Körper	trainieren	richtig	unbekannt	221	4	204	1341	
VP_01	1	l	211	76	galvanometer_2.bmp	Mandeln	operieren	falsch	unbekannt	222	3	203	1619	
VP_01	1	l	211	114	Sonnenlichtsintensitaetsmesser.bmp	Krawatten	aufhängen	falsch	unbekannt	222	3	203	1126	
VP_01	1	l	211	121	fueller.bmp				bekannt	230	1	201	876	
VP_01	1	l	211	121	gewehr.bmp				bekannt	230	1	201	849	
VP_01	1	l	211	21	spannungsgeraet.bmp	Fußstütze	reiten	falsch	unbekannt	222	2	202	1677	
VP_01	1	l	211	121	handruehrgeraet.bmp				bekannt	230	1	201	756	
VP_01	1	l	211	121	flaschenoeffner.bmp				bekannt	230	1	201	656	
VP_01	1	l	211	121	buerostuhl.bmp				bekannt	230	1	201	1044	
VP_01	1	l	211	121	kuechenmaschine.bmp				bekannt	230	1	201	946	
VP_01	1	l	211	121	hacke.bmp				bekannt	230	1	201	788	
VP_01	1	l	211	121	ventilator.bmp				bekannt	230	1	201	655	
VP_01	1	l	211	118	Siebenmeilenstiefel.bmp	Tabletten	zerteilen	falsch	unbekannt	222	4	204	1517	
VP_01	1	l	211	121	hammer.bmp				bekannt	230	1	201	732	
VP_01	1	l	211	80	Buchbinder.bmp	Löcher	bohren	falsch	unbekannt	222	3	203	1615	
VP_01	1	l	211	74	Brenneisen.bmp	Zeichen	einbrennen	richtig	unbekannt	221	3	203	933	
VP_01	1	l	211	121	fernglas.bmp				bekannt	230	1	201	712	
VP_01	1	l	211	52	mandelnentferner.bmp	Film	aufspulen	falsch	unbekannt	222	3	203	1765	
VP_01	1	l	211	121	waschbecken.bmp				bekannt	230	1	201	830	
VP_01	1	l	211	64	brillenglasschneidemaschine.bmp	Brillenglas	zuschneiden	richtig	unbekannt	221	2	202	1761	
VP_01	1	l	211	121	astschere.bmp				bekannt	230	1	201	1553	
VP_01	1	l	211	78	Messerschleifer.bmp	Schritte	vergrößern	falsch	unbekannt	222	2	202	2113	
VP_01	1	l	211	34	dosenoeffner_fuer_faesser.bmp	Fass	öffnen	richtig	unbekannt	221	2	202	1124	
VP_01	1	l	211	121	brille.bmp				bekannt	230	1	201	607	
VP_01	1	l	211	110	Becher-Grammophon.bmp	Schlüsselloch	stanzen	falsch	unbekannt	222	3	203	2069	
VP_01	1	l	211	19	Brikettpresse.bmp	Narkosemittel	abgeben	falsch	unbekannt	222	2	202	1743	
VP_01	1	l	211	121	pfannenwender.bmp				bekannt	230	1	201	588	
VP_01	1	l	211	121	giesskanne.bmp				bekannt	230	1	201	517	
VP_01	1	l	211	121	spritze.bmp				bekannt	230	1	201	559	
VP_01	1	l	211	121	trillerpfeife.bmp				bekannt	230	1	201	848	
VP_01	1	l	211	41	Sprengstoff-Zuender.bmp	Sprengstoffexplosion	auslösen	richtig	unbekannt	221	3	203	1845	
VP_01	1	l	211	121	stempel.bmp				bekannt	230	1	201	802	
VP_01	1	l	211	97	Korkenpresse_2.bmp	Korken	formen	richtig	unbekannt	221	4	204	1487	
VP_01	1	l	211	121	kaefig.bmp				bekannt	230	1	201	856	
VP_01	1	l	211	2	nudelmaschine.bmp	Makkaroni	formen	richtig	unbekannt	221	4	204	1384	
VP_01	1	l	211	121	eierschneider.bmp				bekannt	230	1	201	797	
VP_01	1	l	211	44	Nussoelpressmaschine.bmp	Nussöl	pressen	richtig	unbekannt	221	2	202	1803	
VP_01	1	l	211	99	heliotrop.bmp	Streckenmaß	Sonnenlicht nutzen	richtig	unbekannt	221	4	204	2173	
VP_01	1	l	211	121	kopfhoerer.bmp				bekannt	230	1	201	576	
VP_01	1	l	211	43	Bleistiftspitzer.bmp	Bleistift	anspitzen	richtig	unbekannt	221	4	204	1264	
VP_01	1	l	211	121	regenschirm.bmp				bekannt	230	1	201	686	
VP_01	1	l	211	42	pferdeueberschuh.bmp	Pferdehuf	Halt geben	richtig	unbekannt	221	4	204	982	
VP_01	1	l	211	121	diabolo.bmp				bekannt	230	1	201	840	
VP_01	1	l	211	121	naehmaschine.bmp				bekannt	230	1	201	786	
VP_01	1	l	211	121	schaumloeffel.bmp				bekannt	230	1	201	584	
VP_01	1	l	211	121	kehrschaufel.bmp				bekannt	230	1	201	648	
VP_01	1	l	211	119	Muenzspender.bmp	Kutschrad	anschließen	falsch	unbekannt	222	3	203	1811	
VP_01	1	l	211	121	rechen.bmp				bekannt	230	1	201	699	
VP_01	1	l	211	37	Saemaschine.bmp	Saatgut	gleichmäßig aussäen	richtig	unbekannt	221	4	204	1345	
VP_01	1	l	211	121	telefon.bmp				bekannt	230	1	201	559	
VP_01	1	l	211	121	waage.bmp				bekannt	230	1	201	646	
VP_01	1	l	211	121	dusche.bmp				bekannt	230	1	201	814	
VP_01	1	l	211	121	thermometer.bmp				bekannt	230	1	201	579	
VP_01	1	l	211	112	mundsperrer.bmp	Orgelton	erzeugen	falsch	unbekannt	222	4	204	1182	
VP_01	1	l	211	46	plattenheber.bmp	Kleidung	im Eimer waschen	falsch	unbekannt	222	4	204	1324	
VP_01	1	l	211	88	Ball-Wurfmaschine.bmp	Radiergummi	mit Strom betreiben	falsch	unbekannt	222	4	204	1638	
VP_01	1	l	211	121	grill.bmp				bekannt	230	1	201	741	
VP_01	1	l	211	24	weinfassoeffner.bmp	Tier	einfangen	falsch	unbekannt	222	4	204	1871	
VP_01	1	l	211	116	Eierwaage.bmp	Leierkasten	klingen	falsch	unbekannt	222	4	204	1006	
VP_01	1	l	211	121	sieb.bmp				bekannt	230	1	201	890	
VP_01	1	l	211	49	mikrotom.bmp	heiße Platten	anheben	falsch	unbekannt	222	3	203	1993	
VP_01	1	l	211	13	paint_scraper.bmp	Farbe	vom Fenster abschleifen	richtig	unbekannt	221	3	203	1389	
VP_01	1	l	211	16	krawattenaufhaenger.bmp	Zeichnungen	vermessen	falsch	unbekannt	222	3	203	1608	
VP_01	1	l	211	29	4erbohrer.bmp	Sonnenlicht	Intensität messen	falsch	unbekannt	222	0	0	0	
VP_01	1	l	211	59	Treibhausheizgeraet.bmp	Messer	schleifen	falsch	unbekannt	222	4	204	1371	
VP_01	1	l	211	121	leiter.bmp				bekannt	230	1	201	580	
VP_01	1	l	211	96	kerzenloescher.bmp	Kerzen	löschen	richtig	unbekannt	221	2	202	1530	
VP_01	1	l	211	22	anesthesia_inhaler.bmp	Nüsse	aufbrechen	falsch	unbekannt	222	3	203	1610	
VP_01	1	l	211	121	tacker.bmp				bekannt	230	1	201	575	
VP_01	1	l	211	121	sparschwein.bmp				bekannt	230	1	201	602	
VP_01	1	l	211	121	kuchenform.bmp				bekannt	230	1	201	517	
VP_01	1	l	211	107	Windgeschwindigkeitsmesser.bmp	Waffe	entflammen	falsch	unbekannt	222	3	203	2420	
VP_01	1	l	211	121	ampel.bmp				bekannt	230	1	201	957	
VP_01	1	l	211	85	Rituelles_Hackmesser.bmp	Spannung	erzeugen	falsch	unbekannt	222	4	204	1172	
VP_01	1	l	211	121	foehn.bmp				bekannt	230	1	201	576	
VP_01	1	l	211	56	einkufiger_schlitten.bmp	Dampf	zerstäuben	falsch	unbekannt	222	4	204	1497	
VP_01	1	l	211	108	schluesselloch-cutter.bmp	Automat	Eier ausbrüten	falsch	unbekannt	222	4	204	1055	
VP_01	1	l	211	121	uhr.bmp				bekannt	230	1	201	700	
VP_01	1	l	211	121	mikrowelle.bmp				bekannt	230	1	201	584	
VP_01	1	l	211	51	dampfzerstaeuber.bmp	Buch	binden	falsch	unbekannt	222	2	202	2882	
VP_01	1	l	211	121	radiergummi.bmp				bekannt	230	1	201	1469	
VP_01	1	l	211	121	saege.bmp				bekannt	230	1	201	679	
VP_01	1	l	211	121	trichter.bmp				bekannt	230	1	201	819	
VP_01	1	l	211	77	tierfalle.bmp	Maiskolben	entkörnen	falsch	unbekannt	222	4	204	1425	
VP_01	1	l	211	121	taschenmesser.bmp				bekannt	230	1	201	741	
VP_01	1	l	211	121	handschellen.bmp				bekannt	230	1	201	551	
VP_01	1	l	211	121	gitarre.bmp				bekannt	230	1	201	467	
VP_01	1	l	211	27	Korngarbengreifer.bmp	Treibhaus	heizen	falsch	unbekannt	222	3	203	1764	
VP_01	1	l	211	95	Fischwaage.bmp	Fisch	wiegen	richtig	unbekannt	221	4	204	1744	
VP_01	1	l	211	121	axt.bmp				bekannt	230	1	201	679	
VP_01	1	l	211	8	Eierkarton-Presse.bmp	Eierkarton	pressen	richtig	unbekannt	221	4	204	1112	
VP_01	1	l	211	35	karbidlampe.bmp	Bergbaustollen	beleuchten	richtig	unbekannt	221	4	204	1160	
VP_01	1	l	211	121	pinzette.bmp				bekannt	230	1	201	708	
VP_01	1	l	211	121	kamm.bmp				bekannt	230	1	201	468	
VP_01	1	l	211	121	aschenbecher.bmp				bekannt	230	1	201	890	
VP_01	1	l	211	117	Selbstwaessernder_Blumentopf.bmp	Glas	schneiden	falsch	unbekannt	222	4	204	1678	
VP_01	1	l	211	73	mechanisches_tachometer.bmp	Geschwindigkeit	ermitteln	richtig	unbekannt	221	4	204	1251	
VP_01	1	l	211	121	hanteln.bmp				bekannt	230	1	201	1015	
VP_01	1	l	211	82	tablettenteiler.bmp	Blumentopf	sich selbst wässern	falsch	unbekannt	222	1	201	2132	
VP_01	1	l	211	1	galvanometer.bmp	elektrische Spannung	prüfen	richtig	unbekannt	221	2	202	1961	
VP_01	1	l	211	62	Selbstreinigendes_Katzenklo.bmp	Katzenklo	sich selbst reinigen	richtig	unbekannt	221	4	204	1472	
VP_01	1	l	211	50	Glasresonanz-Cello.bmp	Kork	flach pressen	falsch	unbekannt	222	4	204	929	
VP_01	1	l	211	72	schneekette.bmp	Schuhe	auf Eis laufen	richtig	unbekannt	221	3	203	1178	
VP_01	1	l	211	121	zollstock.bmp				bekannt	230	1	201	727	
VP_01	1	l	211	15	mikroskop.bmp	Pflanzenteile	vergrößern	richtig	unbekannt	221	4	204	1514	
VP_01	1	l	211	79	tibetischer_leierkasten.bmp	Fass	anheben	falsch	unbekannt	222	1	201	1014	
VP_01	1	l	211	121	rasenmaeher.bmp				bekannt	230	1	201	588	
VP_01	1	l	211	94	seilschneider.bmp	Seil	schneiden	richtig	unbekannt	221	4	204	1136	
VP_01	1	l	211	83	hebel_fuer_fassbauer.bmp	Mikroskop-Proben	schneiden	falsch	unbekannt	222	3	203	2227	
VP_01	1	l	211	106	uhrwerk.bmp	altes Ritual	hacken	falsch	unbekannt	222	4	204	977	
VP_01	1	l	211	68	Roemisches_Senklot.bmp	Schnurlot	absenken	richtig	unbekannt	221	4	204	1059	
VP_01	1	l	211	47	filmrolle.bmp	Mund	offen halten	falsch	unbekannt	222	4	204	1482	
VP_01	1	l	211	121	lampe.bmp				bekannt	230	1	201	662	
VP_01	1	l	211	121	pfanne.bmp				bekannt	230	1	201	442	
VP_01	1	l	211	121	milchschaeumer.bmp				bekannt	230	1	201	665	
VP_01	1	l	211	54	steigbuegel.bmp	Stromstärke	messen	falsch	unbekannt	222	4	204	1195	
VP_01	1	l	211	28	Briefwaage.bmp	Korngarbe	greifen	falsch	unbekannt	222	3	203	1271	
