part,condition,subject_id,item_id,RT,P1,N170,N400
I,Excl_naive,sub-21,30,1762,9.200,14.843,-0.398
I,Excl_informed,sub-21,98,2283,5.540,3.238,8.769
I,Excl_informed,sub-21,3,2308,2.672,1.867,0.093
I,Excl_informed,sub-21,1,1538,-0.768,4.777,3.345
I,Naive,sub-21,107,1836,9.803,11.762,0.669
I,Naive,sub-21,20,2093,4.436,2.508,6.342
I,Naive,sub-21,18,2522,-2.591,2.229,2.023
I,Naive,sub-21,114,1682,0.880,5.225,3.697
I,Excl_informed,sub-21,62,1223,13.330,10.949,3.888
I,Excl_informed,sub-21,95,1722,-1.046,9.557,0.990
I,Excl_naive,sub-21,117,2025,-0.840,3.878,-0.928
I,Excl_informed,sub-21,37,1751,-2.775,8.896,-1.360
I,Excl_informed,sub-21,7,2230,0.272,6.724,3.632
I,Informed,sub-21,74,1647,5.236,12.459,-1.673
I,Excl_informed,sub-21,99,2423,-1.672,-0.587,3.530
I,Naive,sub-21,80,2201,5.801,13.706,-3.730
I,Excl_naive,sub-21,120,2032,-3.965,3.811,2.781
I,Excl_informed,sub-21,100,2145,1.302,2.799,1.583
I,Excl_informed,sub-21,31,1778,4.023,7.978,0.802
I,Informed,sub-21,38,1633,6.650,5.930,0.905
I,Excl_known,sub-21,27,1335,-1.596,-4.774,10.971
I,Informed,sub-21,6,1729,2.116,8.282,-0.948
I,Excl_informed,sub-21,2,1716,3.574,2.070,5.654
I,Excl_informed,sub-21,69,2027,7.977,15.193,5.027
I,Naive,sub-21,57,1718,2.716,2.509,6.902
I,Excl_known,sub-21,96,877,-1.659,1.568,-0.264
I,Excl_naive,sub-21,116,1908,10.163,6.773,2.368
I,Excl_informed,sub-21,43,1758,-1.697,6.084,4.249
I,Naive,sub-21,88,1436,-10.078,4.038,5.814
I,Excl_naive,sub-21,84,1672,-0.171,5.373,0.555
I,Excl_naive,sub-21,26,1863,-2.779,3.977,1.374
I,Excl_informed,sub-21,13,1425,3.010,4.020,7.576
I,Naive,sub-21,106,1404,8.655,10.701,-3.810
I,Excl_informed,sub-21,73,1721,0.271,-0.446,6.547
I,Naive,sub-21,108,1446,-5.943,2.512,-3.511
I,Excl_informed,sub-21,97,2009,-0.909,6.790,4.240
I,Naive,sub-21,78,1785,0.288,0.648,-1.999
I,Naive,sub-21,60,1459,5.846,7.720,8.043
I,Informed,sub-21,92,2163,2.574,7.439,0.500
I,Excl_informed,sub-21,66,1501,5.333,7.081,-2.516
I,Informed,sub-21,44,1959,-4.185,10.399,2.661
I,Naive,sub-21,29,1644,-1.135,0.930,-1.517
I,Naive,sub-21,49,2415,12.925,9.966,3.718
I,Informed,sub-21,12,2247,3.337,9.768,1.966
I,Excl_naive,sub-21,16,1938,-3.559,0.094,3.646
I,Naive,sub-21,118,1621,1.726,2.554,-6.765
I,Excl_naive,sub-21,90,1057,4.870,1.407,4.423
I,Excl_naive,sub-21,110,1996,6.460,7.679,1.684
I,Naive,sub-21,79,2277,1.654,12.805,-2.619
I,Informed,sub-21,94,0,10.559,14.448,-1.982
I,Naive,sub-21,89,1470,1.521,-3.013,5.095
I,Excl_informed,sub-21,5,1518,5.457,9.270,-4.039
I,Excl_naive,sub-21,24,1094,7.093,6.450,4.289
I,Informed,sub-21,70,1526,9.712,8.598,-0.944
I,Naive,sub-21,23,1831,9.676,12.114,-0.357
I,Naive,sub-21,111,1699,5.145,5.946,6.203
I,Excl_informed,sub-21,41,1966,3.260,7.660,5.830
I,Informed,sub-21,10,1626,4.254,8.643,-0.429
I,Excl_informed,sub-21,9,1521,2.658,9.483,3.336
I,Naive,sub-21,17,1536,0.339,2.224,1.833
I,Naive,sub-21,115,1610,5.125,6.906,6.238
I,Naive,sub-21,22,1398,6.671,5.713,7.187
I,Naive,sub-21,113,1608,0.460,3.883,4.352
I,Excl_informed,sub-21,71,1754,2.506,1.614,3.931
I,Excl_informed,sub-21,36,1901,-7.107,-2.513,2.038
I,Excl_informed,sub-21,15,1787,-0.790,0.629,3.279
I,Naive,sub-21,83,1419,6.165,1.176,4.619
I,Naive,sub-21,87,1762,1.904,6.454,5.840
I,Excl_known,sub-21,53,1354,4.519,13.121,-0.192
I,Informed,sub-21,35,1396,6.199,3.906,6.500
I,Naive,sub-21,54,2021,8.613,8.845,0.421
I,Excl_informed,sub-21,33,1151,2.388,10.912,5.031
I,Naive,sub-21,50,1210,6.889,11.703,6.174
I,Excl_informed,sub-21,8,1049,-1.299,2.368,1.253
I,Naive,sub-21,76,0,2.509,6.838,-5.315
I,Excl_informed,sub-21,45,1856,-2.325,0.694,-1.995
I,Naive,sub-21,47,1219,0.631,-0.257,5.793
I,Excl_informed,sub-21,61,1492,-0.207,3.556,0.880
I,Excl_informed,sub-21,32,1132,1.086,3.950,-1.313
I,Informed,sub-21,65,1263,2.906,5.368,4.236
I,Excl_informed,sub-21,39,1428,-2.809,6.235,-7.069
I,Naive,sub-21,59,879,6.971,5.877,-1.141
I,Excl_naive,sub-21,58,1784,1.656,0.105,1.018
I,Informed,sub-21,93,1592,5.733,3.849,5.271
I,Naive,sub-21,86,1834,5.861,13.675,2.563
I,Informed,sub-21,34,2696,6.557,10.410,1.760
I,Informed,sub-21,67,1520,16.303,16.681,-4.775
I,Excl_informed,sub-21,63,1183,-1.529,-0.496,-4.094
I,Excl_informed,sub-21,101,0,0.883,-10.947,1.702
I,Informed,sub-21,64,1049,3.620,5.299,5.645
I,Informed,sub-21,42,935,1.899,3.694,-0.582
I,Excl_informed,sub-21,72,1619,11.153,14.643,1.946
I,Excl_naive,sub-21,85,1586,7.869,0.013,5.997
I,Excl_informed,sub-21,68,1226,0.409,-0.785,3.951
I,Excl_informed,sub-21,40,1892,4.249,5.989,-2.103
I,Excl_informed,sub-21,4,2040,3.693,2.769,3.177
I,Excl_naive,sub-21,56,1614,-2.963,-2.814,2.808
I,Informed,sub-21,104,1544,4.216,3.329,4.590
I,Excl_informed,sub-21,103,1990,3.388,2.188,2.212
I,Naive,sub-21,19,1802,-5.774,8.211,-3.895
I,Naive,sub-21,51,1695,15.507,10.058,0.992
I,Excl_informed,sub-21,105,2110,-4.167,3.730,5.208
I,Naive,sub-21,112,1177,4.824,7.809,6.395
I,Excl_naive,sub-21,25,2121,6.068,4.613,2.211
I,Naive,sub-21,82,1699,5.565,8.290,4.518
I,Naive,sub-21,46,1480,-0.296,3.018,9.110
I,Informed,sub-21,14,2113,5.543,0.992,4.789
I,Naive,sub-21,77,2398,5.063,5.894,5.710
I,Excl_naive,sub-21,55,2068,10.107,7.652,-3.348
I,Excl_informed,sub-21,91,956,6.511,3.594,4.198
I,Naive,sub-21,52,1564,10.679,9.121,6.166
I,Naive,sub-21,119,1749,5.789,7.928,-3.408
I,Naive,sub-21,48,1408,5.644,2.185,1.970
I,Excl_naive,sub-21,21,2462,-1.568,-1.801,-1.078
I,Naive,sub-21,109,0,6.976,15.673,-4.277
I,Naive,sub-21,28,1429,4.016,9.058,2.032
I,Excl_informed,sub-21,11,1274,14.056,4.864,-2.495
I,Naive,sub-21,81,1499,-2.661,2.150,6.809
I,Excl_informed,sub-21,102,2296,-1.955,-0.162,0.437
I,Excl_informed,sub-21,75,1635,9.636,7.098,3.354
II,Naive,sub-21,109,2907,-1.438,7.764,-0.599
II,Informed,sub-21,70,1601,9.640,5.269,3.858
II,Excl_naive,sub-21,58,2371,11.330,6.763,1.265
II,Informed,sub-21,64,2561,6.152,-2.209,-1.307
II,Excl_informed,sub-21,36,2836,-5.052,-0.719,2.892
II,Naive,sub-21,46,2994,3.037,1.655,3.771
II,Naive,sub-21,48,2810,6.228,-3.535,5.256
II,Excl_naive,sub-21,117,0,1.838,4.500,9.568
II,Excl_naive,sub-21,30,0,4.019,-2.308,-0.525
II,Naive,sub-21,112,2746,-3.974,-7.959,2.162
II,Excl_informed,sub-21,95,2459,-1.194,-6.631,1.794
II,Excl_informed,sub-21,99,0,1.038,2.118,6.755
II,Excl_naive,sub-21,55,0,6.008,-6.117,4.598
II,Excl_informed,sub-21,68,0,-1.287,-5.427,9.419
II,Informed,sub-21,6,2010,3.999,11.195,-2.244
II,Excl_naive,sub-21,110,0,2.435,-5.803,7.121
II,Naive,sub-21,88,2621,1.774,5.615,2.949
II,Excl_informed,sub-21,1,0,0.652,-4.334,1.677
II,Informed,sub-21,104,2279,-4.627,1.193,6.891
II,Naive,sub-21,77,2756,3.730,-4.122,10.679
II,Excl_informed,sub-21,11,0,0.896,-3.173,7.716
II,Informed,sub-21,38,2118,0.948,-5.261,9.751
II,Excl_informed,sub-21,43,2480,10.252,0.964,2.500
II,Excl_naive,sub-21,56,0,-2.222,-5.275,3.441
II,Informed,sub-21,35,2014,14.846,6.695,9.773
II,Excl_informed,sub-21,101,0,-2.507,-9.297,3.248
II,Naive,sub-21,119,2523,2.721,6.968,3.326
II,Excl_informed,sub-21,63,2961,-1.240,-8.743,5.529
II,Excl_naive,sub-21,25,0,7.249,-7.298,2.659
II,Excl_naive,sub-21,21,0,-0.316,0.734,4.940
III,Informed,sub-21,64,2251,3.338,-0.320,-5.035
III,Informed,sub-21,38,1431,0.416,-4.132,2.852
