part,condition,subject_id,item_id,RT,P1,N170,N400
I,Naive,sub-08,92,1597,3.520,5.798,-8.642
I,Excl_informed,sub-08,117,1105,1.953,0.018,-1.575
I,Informed,sub-08,78,1298,8.222,2.689,-3.415
I,Informed,sub-08,79,1369,3.998,5.165,-0.189
I,Excl_informed,sub-08,19,1322,10.612,8.469,1.475
I,Excl_known,sub-08,65,1664,8.803,2.185,-0.931
I,Naive,sub-08,5,1657,3.170,5.028,-7.689
I,Naive,sub-08,100,1194,-4.199,3.404,-3.964
I,Excl_known,sub-08,120,1737,3.188,3.422,-2.789
I,Naive,sub-08,98,1959,-1.022,-0.547,-2.510
I,Excl_informed,sub-08,109,1156,6.224,4.306,-2.607
I,Excl_known,sub-08,81,2711,2.567,0.277,-3.056
I,Excl_known,sub-08,94,1269,1.179,-1.029,0.078
I,Informed,sub-08,21,1638,6.075,7.222,-3.223
I,Naive,sub-08,71,1955,-2.899,4.124,-2.615
I,Excl_known,sub-08,3,1218,-1.977,2.661,-3.152
I,Excl_informed,sub-08,46,2012,3.953,2.709,-2.370
I,Excl_informed,sub-08,83,2504,-1.159,5.039,0.365
I,Naive,sub-08,103,1599,-4.330,7.123,-3.991
I,Informed,sub-08,60,1620,-4.353,-0.969,-0.280
I,Naive,sub-08,62,1759,8.488,-0.911,3.464
I,Excl_informed,sub-08,77,1622,6.922,2.755,1.557
I,Informed,sub-08,25,2513,1.077,1.678,-2.772
I,Naive,sub-08,12,1362,5.843,0.553,3.377
I,Excl_informed,sub-08,106,1253,2.873,5.490,-3.659
I,Excl_informed,sub-08,29,1131,-8.545,-5.139,5.533
I,Informed,sub-08,86,1228,0.372,6.631,-5.591
I,Informed,sub-08,88,1007,-2.245,2.872,4.025
I,Excl_informed,sub-08,55,1140,1.168,0.144,-4.608
I,Excl_informed,sub-08,28,2075,3.972,0.683,2.511
I,Excl_known,sub-08,18,887,0.751,-2.370,2.443
I,Naive,sub-08,36,1094,-1.004,0.687,1.497
I,Informed,sub-08,51,1704,2.791,3.245,-6.388
I,Naive,sub-08,39,1359,-3.035,9.374,-5.729
I,Informed,sub-08,24,1347,7.337,6.132,1.763
I,Informed,sub-08,26,1193,-0.374,0.395,-2.613
