part,condition,subject_id,item_id,RT,P1,N170,N400
I,Naive,sub-22,104,1396,7.026,5.837,3.117
I,Naive,sub-22,97,1969,19.323,14.645,-0.755
I,Excl_informed,sub-22,17,1489,13.640,-4.267,-2.211
I,Informed,sub-22,51,1776,7.739,7.527,-2.395
I,Informed,sub-22,48,2264,8.935,7.162,-4.610
I,Informed,sub-22,109,1606,8.839,13.328,-1.830
I,Naive,sub-22,36,2031,5.115,14.543,-7.272
I,Naive,sub-22,96,1510,-0.120,-3.097,10.088
I,Naive,sub-22,4,1971,3.034,1.881,1.662
I,Excl_informed,sub-22,55,0,10.674,7.736,-3.335
I,Naive,sub-22,72,2150,0.234,14.582,-5.074
I,Naive,sub-22,63,1451,14.797,17.258,-11.896
I,Excl_informed,sub-22,106,1965,10.796,6.680,-12.443
I,Naive,sub-22,73,2602,3.688,7.904,1.446
I,Excl_known,sub-22,62,1646,16.001,10.709,-6.379
I,Naive,sub-22,67,2279,8.833,5.233,1.607
I,Naive,sub-22,103,1624,20.450,20.419,0.211
I,Excl_known,sub-22,89,1226,4.575,8.717,4.304
I,Naive,sub-22,68,1462,6.909,7.415,4.583
I,Informed,sub-22,47,1730,7.130,5.903,0.579
I,Excl_informed,sub-22,46,1736,7.062,18.057,-9.212
I,Excl_naive,sub-22,31,2276,-1.732,11.010,-7.179
I,Informed,sub-22,26,1396,18.090,17.396,2.056
I,Naive,sub-22,95,2312,5.640,16.653,1.271
I,Informed,sub-22,25,2221,14.174,15.182,5.446
I,Naive,sub-22,92,2283,32.268,14.075,-0.284
I,Naive,sub-22,11,1980,11.159,9.949,-0.382
I,Naive,sub-22,40,2920,-2.725,1.987,11.027
I,Naive,sub-22,8,1716,11.815,11.646,7.206
I,Excl_informed,sub-22,18,1900,8.909,11.580,0.293
I,Excl_informed,sub-22,30,837,8.572,14.034,-4.228
I,Naive,sub-22,39,978,16.755,16.181,-3.804
I,Excl_informed,sub-22,118,1889,3.455,2.657,1.831
I,Naive,sub-22,1,1579,11.821,5.592,-6.206
I,Excl_informed,sub-22,76,1505,23.641,10.852,-5.959
I,Naive,sub-22,101,1356,20.141,7.107,-2.443
I,Naive,sub-22,37,1540,17.187,20.331,-1.481
I,Naive,sub-22,38,1865,10.407,11.116,5.652
I,Informed,sub-22,19,2386,6.069,5.456,0.126
I,Naive,sub-22,75,2487,5.755,3.577,-5.218
I,Informed,sub-22,81,0,11.847,7.904,-3.519
I,Naive,sub-22,93,1993,11.982,15.618,-1.778
I,Naive,sub-22,102,1338,8.037,7.164,0.866
I,Informed,sub-22,59,898,16.123,8.216,-10.315
I,Excl_naive,sub-22,71,2606,6.906,18.822,2.690
I,Informed,sub-22,88,1959,19.722,6.251,-1.736
I,Excl_informed,sub-22,22,2264,19.553,11.903,-9.307
I,Informed,sub-22,86,2301,9.853,4.221,2.408
I,Informed,sub-22,85,2184,17.758,8.112,-2.333
I,Informed,sub-22,119,1573,16.118,18.414,-7.112
I,Excl_informed,sub-22,16,1439,14.114,12.578,2.572
I,Informed,sub-22,24,1927,10.102,10.946,-2.047
I,Informed,sub-22,77,1285,17.727,24.562,0.766
I,Naive,sub-22,94,1609,16.358,18.503,-3.357
I,Informed,sub-22,90,2864,10.398,9.040,-0.819
I,Informed,sub-22,21,1948,11.919,7.422,-1.445
I,Informed,sub-22,110,2293,2.244,16.684,-6.465
I,Excl_informed,sub-22,78,1611,22.451,17.883,5.512
I,Informed,sub-22,84,1304,19.260,13.971,1.910
I,Naive,sub-22,7,2217,13.069,5.086,-8.820
I,Naive,sub-22,99,2649,17.148,14.932,-3.708
I,Naive,sub-22,9,2532,7.561,18.082,-0.695
I,Informed,sub-22,82,0,-0.390,17.206,1.379
I,Naive,sub-22,105,1921,6.713,4.365,3.946
I,Informed,sub-22,116,1891,12.622,11.228,4.288
I,Naive,sub-22,13,1844,21.475,16.010,-5.971
I,Naive,sub-22,66,1683,5.205,11.645,-5.260
I,Informed,sub-22,57,1939,3.190,9.109,0.749
I,Naive,sub-22,32,2527,17.563,12.873,-1.030
I,Excl_known,sub-22,50,648,8.292,1.601,6.101
I,Excl_naive,sub-22,69,1269,18.062,14.262,-1.957
I,Naive,sub-22,42,974,20.392,13.897,-1.750
I,Informed,sub-22,58,1817,15.047,20.475,-10.333
I,Informed,sub-22,114,1393,18.806,13.572,2.625
I,Informed,sub-22,108,0,7.976,5.101,-1.597
I,Informed,sub-22,49,1705,23.194,19.499,-8.436
I,Informed,sub-22,27,1812,16.158,6.562,5.417
I,Naive,sub-22,91,2914,10.549,10.511,1.745
I,Naive,sub-22,14,1711,27.554,12.686,-8.446
I,Naive,sub-22,44,1098,20.367,18.846,-3.118
I,Naive,sub-22,98,1310,6.285,9.388,-3.271
I,Naive,sub-22,70,1309,7.017,5.990,-0.730
I,Naive,sub-22,33,900,10.675,5.469,-3.630
I,Excl_informed,sub-22,83,2708,2.753,7.688,-3.206
I,Naive,sub-22,5,1593,24.246,9.656,-6.074
I,Excl_naive,sub-22,6,2431,17.005,13.051,-0.028
I,Informed,sub-22,115,1240,5.054,9.933,1.264
I,Naive,sub-22,12,750,4.836,6.251,0.477
I,Naive,sub-22,41,1729,25.668,10.298,7.994
I,Naive,sub-22,100,1350,6.495,1.639,3.466
I,Naive,sub-22,10,1284,10.987,3.946,2.491
I,Excl_informed,sub-22,29,1011,19.057,3.356,4.602
I,Informed,sub-22,117,2416,0.498,9.228,-4.141
I,Informed,sub-22,60,1348,8.106,6.928,1.506
I,Naive,sub-22,61,1666,5.424,9.824,-6.052
I,Excl_naive,sub-22,45,1750,-3.809,-5.719,3.087
I,Informed,sub-22,52,2174,-10.451,4.306,-7.487
I,Informed,sub-22,107,2328,17.243,19.837,10.816
I,Excl_informed,sub-22,120,1468,18.667,19.847,-10.169
I,Naive,sub-22,74,975,10.235,16.523,2.408
I,Excl_naive,sub-22,3,1651,24.567,12.829,-8.968
I,Excl_known,sub-22,35,2231,25.130,26.312,-4.446
I,Excl_known,sub-22,54,2912,6.362,6.658,3.507
I,Informed,sub-22,56,2996,20.658,20.093,-1.186
I,Informed,sub-22,79,0,15.815,16.131,-1.442
I,Excl_informed,sub-22,113,2167,1.505,10.662,-2.813
I,Informed,sub-22,111,2027,-2.363,6.707,-4.209
I,Informed,sub-22,112,1603,-7.623,2.793,0.133
I,Excl_known,sub-22,28,1908,12.310,14.192,-7.031
I,Excl_informed,sub-22,23,2584,-2.513,7.280,4.743
I,Informed,sub-22,53,1291,8.007,4.403,2.230
I,Naive,sub-22,34,2751,8.959,3.268,3.110
I,Naive,sub-22,65,1506,15.781,17.463,-9.851
I,Excl_naive,sub-22,2,1389,14.606,6.739,-2.895
I,Naive,sub-22,64,2801,18.817,11.654,-6.883
