part,condition,subject_id,item_id,RT,P1,N170,N400
I,Excl_informed,sub-33,15,1593,2.525,9.136,-6.487
I,Naive,sub-33,24,1704,3.408,0.494,1.606
I,Informed,sub-33,8,1639,1.292,3.580,-7.998
I,Naive,sub-33,22,1815,5.102,3.230,-1.861
I,Excl_informed,sub-33,45,1810,-3.295,-2.827,-1.090
I,Naive,sub-33,113,1675,0.613,-2.648,6.392
I,Naive,sub-33,120,1166,-0.465,2.621,-2.450
I,Excl_informed,sub-33,66,1198,2.132,4.653,-3.325
I,Excl_informed,sub-33,92,1365,-6.784,4.111,0.403
I,Informed,sub-33,9,1566,-6.276,3.939,-1.636
I,Excl_informed,sub-33,7,1358,-4.023,-0.803,2.020
I,Naive,sub-33,25,1811,5.247,-0.600,2.619
I,Naive,sub-33,30,1565,2.728,2.456,-4.193
I,Naive,sub-33,86,1610,7.174,11.163,-3.706
I,Excl_informed,sub-33,69,972,0.192,8.768,1.797
I,Naive,sub-33,82,2387,-7.248,3.510,-6.660
I,Informed,sub-33,99,1725,-6.782,-2.138,1.864
I,Informed,sub-33,34,1467,3.111,11.721,-9.471
I,Naive,sub-33,52,1470,-7.576,0.665,3.842
I,Naive,sub-33,58,1820,-2.557,6.583,-1.291
I,Naive,sub-33,17,1590,2.077,5.693,5.957
I,Excl_naive,sub-33,53,1644,-2.211,1.817,2.175
I,Naive,sub-33,29,1352,9.472,20.835,-6.878
I,Naive,sub-33,47,1222,5.054,2.561,-2.641
I,Naive,sub-33,80,1063,-4.311,2.473,4.926
I,Naive,sub-33,19,1143,2.145,-0.234,-1.561
I,Excl_informed,sub-33,100,1191,1.604,1.082,-0.404
I,Excl_informed,sub-33,75,1396,13.093,25.009,-4.367
I,Excl_naive,sub-33,109,1080,-4.354,5.474,0.202
I,Informed,sub-33,97,1182,2.869,-0.548,2.206
I,Informed,sub-33,14,1259,-7.369,-1.581,-4.576
I,Excl_known,sub-33,18,1402,-3.635,-1.614,11.313
I,Naive,sub-33,20,1611,-3.344,-1.345,5.855
I,Excl_informed,sub-33,68,1366,-0.285,0.093,1.303
I,Excl_informed,sub-33,41,1631,2.569,12.273,-0.538
I,Informed,sub-33,5,1290,0.101,-0.219,3.158
I,Informed,sub-33,91,2677,-1.334,-4.075,1.896
I,Informed,sub-33,38,1216,-13.029,-5.256,0.677
I,Naive,sub-33,115,1589,-9.013,-6.820,3.968
I,Naive,sub-33,57,2196,-20.401,4.153,1.602
I,Excl_naive,sub-33,77,2524,-2.663,5.328,0.494
I,Informed,sub-33,39,1410,-3.130,20.497,-1.237
I,Excl_naive,sub-33,106,988,1.403,0.009,2.063
I,Excl_informed,sub-33,6,1526,2.019,-1.818,-2.537
I,Naive,sub-33,112,2128,-6.054,4.920,-4.965
I,Excl_informed,sub-33,12,943,-4.924,2.903,7.493
I,Informed,sub-33,10,1294,-4.776,5.825,-1.002
I,Naive,sub-33,85,818,13.313,32.489,-10.145
I,Informed,sub-33,67,1575,15.235,15.710,-0.586
I,Excl_informed,sub-33,61,1610,17.987,8.162,0.805
I,Naive,sub-33,48,2361,-1.264,4.563,-2.324
I,Informed,sub-33,96,1624,-6.741,-2.850,0.674
I,Informed,sub-33,40,1581,2.671,4.532,-1.511
I,Naive,sub-33,90,2593,6.402,1.998,1.028
I,Excl_informed,sub-33,36,1681,-3.266,9.072,0.692
I,Excl_known,sub-33,43,1249,5.827,8.784,2.764
