part,condition,subject_id,item_id,RT,P1,N170,N400
I,Informed,sub-06,25,0,2.565,4.818,-0.383
I,Naive,sub-06,73,0,6.373,1.362,0.224
I,Naive,sub-06,105,0,6.430,2.292,1.378
I,Naive,sub-06,104,2029,-0.525,-4.581,1.853
I,Naive,sub-06,101,1503,-4.754,-15.293,-0.410
I,Excl_known,sub-06,49,1781,5.240,-2.724,-0.149
I,Naive,sub-06,11,1320,2.764,0.862,2.439
I,Naive,sub-06,102,1319,5.472,-1.745,4.205
I,Excl_known,sub-06,6,1858,5.567,-1.833,4.632
I,Excl_known,sub-06,33,1919,0.663,-8.894,5.304
I,Naive,sub-06,10,1371,0.775,-7.327,5.298
I,Naive,sub-06,42,1352,-2.410,-5.395,7.136
I,Naive,sub-06,34,1680,-2.106,-7.180,2.601
I,Naive,sub-06,95,1261,13.657,-0.666,0.470
I,Excl_known,sub-06,4,1083,-9.573,-14.548,7.019
I,Excl_informed,sub-06,20,1368,-0.681,-2.840,1.506
I,Excl_informed,sub-06,76,1424,-4.491,-8.538,3.437
I,Excl_informed,sub-06,112,930,7.821,0.298,2.243
I,Excl_informed,sub-06,89,1004,3.044,-3.701,-1.059
I,Naive,sub-06,43,1822,-1.706,-5.901,3.826
I,Excl_informed,sub-06,117,2410,2.195,-1.775,3.630
I,Excl_known,sub-06,41,1596,7.532,-0.320,-1.059
I,Naive,sub-06,36,1173,2.059,5.616,-1.174
I,Informed,sub-06,107,2379,-3.518,-9.054,9.346
I,Naive,sub-06,64,1467,4.237,0.308,5.134
I,Informed,sub-06,47,1286,2.977,-1.025,-6.092
I,Excl_informed,sub-06,90,1760,2.862,-0.885,0.916
I,Informed,sub-06,51,1690,8.501,-12.278,6.889
I,Naive,sub-06,67,1036,5.252,-1.276,4.017
I,Informed,sub-06,111,1185,-0.168,-5.710,-0.912
I,Excl_informed,sub-06,27,866,0.460,-5.514,5.470
I,Naive,sub-06,66,940,2.703,-7.242,4.299
I,Excl_known,sub-06,17,1682,2.914,-4.305,3.464
I,Excl_informed,sub-06,46,2088,-7.335,-3.625,3.766
I,Informed,sub-06,52,1634,8.166,-1.929,-1.543
I,Excl_informed,sub-06,50,1906,5.093,1.516,5.030
I,Excl_informed,sub-06,113,1678,-0.620,0.375,3.254
I,Excl_informed,sub-06,78,1251,8.682,3.819,8.087
I,Excl_naive,sub-06,2,1288,16.000,5.384,-0.583
I,Informed,sub-06,80,1435,4.001,0.128,3.786
I,Excl_naive,sub-06,71,1884,3.766,-0.107,3.254
I,Informed,sub-06,16,1803,-0.857,-4.205,0.171
I,Informed,sub-06,24,1431,1.277,4.781,6.344
I,Excl_known,sub-06,45,2290,2.686,-3.704,9.180
I,Naive,sub-06,65,1866,-5.059,-4.808,10.760
I,Informed,sub-06,86,1746,8.717,1.264,11.644
I,Naive,sub-06,72,1610,3.438,-6.215,11.441
I,Excl_informed,sub-06,118,1013,2.635,-7.612,-1.082
I,Naive,sub-06,3,1504,5.690,-3.566,10.162
I,Naive,sub-06,75,1905,17.402,4.855,10.490
I,Excl_informed,sub-06,88,994,-3.658,-4.380,-0.068
I,Naive,sub-06,93,995,3.670,-2.754,5.339
I,Naive,sub-06,98,1321,1.355,-4.908,6.131
I,Informed,sub-06,84,1363,8.250,9.776,-0.718
I,Excl_informed,sub-06,87,1316,-0.169,-0.706,4.200
I,Excl_informed,sub-06,23,1149,3.616,1.125,3.677
I,Excl_informed,sub-06,56,1676,7.860,0.178,-0.201
I,Informed,sub-06,53,2894,8.053,2.651,-0.446
I,Naive,sub-06,5,1628,2.305,-3.462,10.263
I,Excl_naive,sub-06,35,1857,3.419,-4.828,5.313
I,Excl_informed,sub-06,114,1783,-1.595,-4.692,5.645
I,Informed,sub-06,26,1482,4.533,-6.947,5.777
I,Excl_informed,sub-06,83,875,5.963,-7.617,9.725
I,Excl_informed,sub-06,120,867,0.966,-4.700,0.065
I,Naive,sub-06,40,2826,-2.071,0.531,-2.424
I,Naive,sub-06,97,1193,2.257,-2.436,6.590
I,Informed,sub-06,60,2436,4.683,4.209,1.834
I,Naive,sub-06,62,2465,8.728,-1.777,6.189
I,Informed,sub-06,82,1683,-1.068,-2.194,4.475
I,Excl_known,sub-06,28,1805,7.762,-0.566,6.393
I,Naive,sub-06,14,2217,1.787,-1.476,4.354
I,Naive,sub-06,103,2198,0.487,-2.784,3.539
I,Naive,sub-06,99,1292,11.115,-2.288,4.430
I,Naive,sub-06,91,844,6.494,-3.228,7.643
I,Naive,sub-06,31,1675,1.707,-13.375,4.589
I,Naive,sub-06,7,1506,-0.600,-0.370,-0.308
I,Informed,sub-06,21,1060,2.339,-6.348,4.589
I,Naive,sub-06,12,1258,0.507,-1.220,4.264
I,Naive,sub-06,39,1689,1.189,4.752,-0.608
I,Excl_known,sub-06,18,1629,4.820,4.774,-0.241
I,Informed,sub-06,116,2043,4.351,3.273,2.008
I,Naive,sub-06,69,962,3.224,-2.016,7.235
I,Informed,sub-06,79,2372,0.335,-0.724,4.840
I,Naive,sub-06,15,1196,5.463,-4.632,12.176
I,Naive,sub-06,8,1604,7.721,-0.231,5.486
I,Excl_known,sub-06,85,1621,-1.357,0.557,1.014
I,Naive,sub-06,32,1367,2.354,5.162,1.589
I,Naive,sub-06,38,954,3.455,2.151,-0.903
I,Excl_informed,sub-06,58,2404,7.938,-8.713,3.798
I,Excl_informed,sub-06,106,1257,7.978,-4.755,9.134
I,Naive,sub-06,70,1682,5.714,2.770,2.872
I,Naive,sub-06,68,1777,2.723,-6.816,8.497
I,Naive,sub-06,94,1026,2.555,-8.443,2.102
I,Excl_known,sub-06,110,1802,5.799,-1.593,3.088
I,Informed,sub-06,22,1886,16.450,-0.102,3.246
I,Informed,sub-06,119,1643,4.862,-0.611,8.189
I,Excl_informed,sub-06,19,1219,5.706,-1.717,9.031
I,Excl_known,sub-06,109,1815,-0.547,2.492,3.431
I,Informed,sub-06,48,1433,2.098,-2.499,-4.683
I,Naive,sub-06,61,1211,10.432,6.588,16.443
I,Excl_informed,sub-06,108,0,-6.000,-8.396,4.016
I,Naive,sub-06,74,2123,3.487,3.046,10.612
I,Informed,sub-06,81,1793,5.487,0.167,-1.899
I,Informed,sub-06,54,1930,-1.608,0.336,6.702
I,Naive,sub-06,1,2368,1.068,4.093,-0.248
I,Excl_known,sub-06,57,2017,13.562,-0.572,0.966
I,Naive,sub-06,63,2101,-8.647,-9.153,-1.798
I,Naive,sub-06,92,0,1.936,-0.268,5.540
I,Informed,sub-06,30,1095,4.624,-5.177,4.430
I,Excl_informed,sub-06,115,737,1.908,0.566,1.286
I,Excl_informed,sub-06,29,1324,2.718,-4.427,6.324
I,Excl_informed,sub-06,77,924,3.229,-0.645,5.706
I,Naive,sub-06,44,1945,5.919,1.176,0.325
I,Naive,sub-06,37,1545,3.641,0.293,0.116
I,Informed,sub-06,59,977,9.353,2.363,6.309
I,Naive,sub-06,9,1034,3.739,-4.914,6.679
I,Excl_informed,sub-06,55,1815,5.773,-4.557,9.915
I,Naive,sub-06,100,2437,-4.127,-13.134,5.391
I,Naive,sub-06,13,1781,5.582,12.422,-7.978
I,Excl_known,sub-06,96,1023,10.076,-6.084,6.456
II,Excl_known,sub-06,6,2769,4.939,5.428,3.976
II,Excl_informed,sub-06,120,0,2.708,1.480,9.486
II,Naive,sub-06,14,1910,-0.316,-5.996,-1.082
II,Excl_informed,sub-06,115,1462,-1.917,-12.501,4.185
II,Naive,sub-06,62,1827,-0.529,-10.545,5.195
II,Informed,sub-06,51,1000,-1.439,-4.995,5.267
II,Naive,sub-06,8,1733,5.989,-2.163,2.424
II,Informed,sub-06,54,2619,3.564,-1.330,7.711
II,Naive,sub-06,13,2097,6.498,-1.923,12.080
II,Naive,sub-06,42,1920,4.373,-1.716,1.878
II,Naive,sub-06,69,2482,4.355,-3.635,3.029
II,Excl_informed,sub-06,76,1825,2.742,4.975,4.566
II,Informed,sub-06,59,1773,-2.586,-1.506,3.902
II,Naive,sub-06,39,2148,-7.593,-4.581,7.798
II,Excl_informed,sub-06,29,1687,-5.041,-3.910,9.836
II,Naive,sub-06,95,2725,1.525,-4.015,13.373
II,Informed,sub-06,26,2121,0.092,-0.817,6.557
II,Naive,sub-06,65,1632,2.508,-2.108,9.461
II,Excl_known,sub-06,57,1876,-1.400,-6.528,-2.971
II,Informed,sub-06,60,1697,1.943,4.553,2.674
II,Naive,sub-06,12,2232,6.419,-7.363,12.310
II,Excl_informed,sub-06,108,2625,-1.520,-6.169,-0.054
II,Excl_informed,sub-06,46,0,4.116,0.005,8.682
