part,condition,subject_id,item_id,RT,P1,N170,N400
I,Excl_naive,sub-26,31,1601,-3.184,-5.531,6.755
I,Naive,sub-26,1,1506,5.768,-3.460,-2.034
I,Excl_naive,sub-26,6,1695,0.951,-0.016,-5.841
I,Informed,sub-26,111,1929,2.090,-1.505,-4.415
I,Excl_informed,sub-26,46,2147,1.517,8.054,-0.080
I,Excl_naive,sub-26,7,1243,1.951,1.788,-6.907
I,Informed,sub-26,78,1569,5.793,-3.179,-1.149
I,Excl_known,sub-26,92,1749,-3.254,-8.025,-6.935
I,Informed,sub-26,48,1875,0.772,-4.126,-5.397
I,Excl_naive,sub-26,33,1083,0.277,3.616,-7.829
I,Informed,sub-26,89,1151,0.843,2.166,-6.928
I,Excl_informed,sub-26,84,1084,1.541,-8.407,-2.354
I,Informed,sub-26,79,1233,-0.629,2.943,-8.706
I,Excl_informed,sub-26,49,1304,2.090,5.387,-2.856
I,Naive,sub-26,103,1298,-2.648,4.135,-3.451
I,Excl_naive,sub-26,8,966,8.030,8.934,-5.641
I,Naive,sub-26,14,1426,3.707,0.788,-8.891
I,Naive,sub-26,43,936,3.216,0.856,-2.066
I,Informed,sub-26,60,1056,6.479,3.841,-1.797
I,Informed,sub-26,76,1225,8.248,6.270,-7.523
I,Naive,sub-26,93,932,5.488,7.037,-10.355
I,Informed,sub-26,55,959,1.396,3.939,0.265
I,Informed,sub-26,20,1480,4.389,-7.157,1.781
I,Naive,sub-26,104,1139,1.124,4.606,-5.914
I,Naive,sub-26,99,1086,4.802,-2.589,0.631
I,Excl_informed,sub-26,58,1075,3.597,3.800,-6.650
I,Naive,sub-26,40,946,1.311,1.552,-3.388
I,Naive,sub-26,65,794,6.196,-2.520,0.855
I,Informed,sub-26,119,793,13.838,-4.661,0.250
I,Informed,sub-26,23,845,9.006,1.864,8.209
I,Informed,sub-26,21,866,7.353,4.747,-5.786
I,Excl_known,sub-26,4,689,-2.999,2.499,-0.809
I,Excl_known,sub-26,96,915,4.673,2.698,-0.540
I,Informed,sub-26,56,1079,3.456,4.313,1.100
I,Naive,sub-26,100,1051,4.958,-4.967,-2.708
I,Informed,sub-26,52,1065,4.866,4.797,-1.179
I,Naive,sub-26,61,978,8.131,3.045,9.808
I,Naive,sub-26,101,1060,-5.139,-8.259,0.614
I,Excl_informed,sub-26,59,782,8.420,5.330,-0.268
I,Informed,sub-26,77,809,10.383,6.616,4.499
I,Excl_known,sub-26,57,415,3.229,3.981,-3.967
I,Excl_naive,sub-26,42,853,3.567,1.662,3.728
I,Informed,sub-26,114,842,3.851,3.103,-4.563
I,Informed,sub-26,113,984,6.256,-6.593,11.030
I,Naive,sub-26,35,837,5.726,10.670,-3.195
I,Excl_informed,sub-26,109,758,7.626,3.724,3.700
I,Excl_naive,sub-26,95,837,2.608,-1.562,-1.441
I,Naive,sub-26,39,836,2.481,10.502,-5.120
I,Excl_naive,sub-26,37,830,3.468,2.379,-4.053
I,Excl_known,sub-26,34,1196,0.304,-2.600,-2.895
I,Naive,sub-26,71,854,6.046,0.242,4.226
I,Informed,sub-26,87,822,7.894,4.723,2.493
I,Informed,sub-26,53,842,13.772,-7.541,3.542
I,Naive,sub-26,36,815,0.948,-2.684,1.885
I,Informed,sub-26,120,1125,16.352,3.592,1.056
I,Excl_naive,sub-26,11,715,10.041,4.457,-3.431
I,Excl_naive,sub-26,94,891,2.070,-0.269,2.151
I,Excl_naive,sub-26,91,948,1.322,-0.991,1.145
I,Informed,sub-26,26,885,0.669,6.021,-5.958
I,Informed,sub-26,18,787,-4.987,-3.688,-6.058
I,Naive,sub-26,102,965,4.346,-1.938,-3.007
I,Excl_naive,sub-26,41,763,-5.328,-3.844,3.819
I,Informed,sub-26,110,664,5.217,5.290,-4.452
I,Informed,sub-26,25,1042,4.802,6.168,-2.605
I,Excl_informed,sub-26,106,740,6.827,3.690,4.110
I,Naive,sub-26,13,845,6.131,0.481,-5.305
I,Naive,sub-26,9,754,-0.774,-2.356,-6.901
I,Informed,sub-26,83,892,11.864,6.789,-4.456
I,Excl_naive,sub-26,98,913,2.552,7.674,0.909
I,Naive,sub-26,75,715,2.546,1.356,-2.123
I,Excl_naive,sub-26,2,795,4.240,-2.468,-0.194
I,Informed,sub-26,29,799,-1.643,1.834,-4.291
I,Informed,sub-26,54,729,7.390,-5.721,2.523
I,Informed,sub-26,86,824,10.027,7.856,-6.919
I,Excl_naive,sub-26,3,896,6.924,6.767,1.194
I,Excl_informed,sub-26,50,780,14.138,7.532,-0.724
I,Excl_naive,sub-26,67,1078,-2.980,-3.384,-2.405
I,Informed,sub-26,107,1100,7.965,-1.538,-5.680
I,Naive,sub-26,72,1089,9.284,4.135,4.046
I,Excl_naive,sub-26,12,1241,7.577,2.446,2.440
I,Excl_naive,sub-26,10,826,3.592,-8.530,-6.911
I,Excl_informed,sub-26,16,978,-8.518,6.804,-5.691
I,Excl_naive,sub-26,68,806,4.628,-5.994,-2.157
I,Naive,sub-26,70,1201,4.863,4.447,-4.133
I,Excl_informed,sub-26,112,942,1.514,5.459,-0.671
I,Excl_informed,sub-26,90,1112,9.208,5.435,-5.495
I,Excl_naive,sub-26,45,1100,0.191,2.239,-2.461
I,Excl_known,sub-26,51,425,0.525,-0.761,-1.821
I,Informed,sub-26,108,762,9.889,11.323,2.387
I,Informed,sub-26,82,1010,11.189,-1.019,-1.222
I,Informed,sub-26,80,1044,9.269,7.465,-3.372
I,Excl_naive,sub-26,63,840,1.674,1.856,-3.038
I,Naive,sub-26,69,954,7.341,7.925,-0.423
I,Naive,sub-26,15,1078,3.258,0.903,-0.969
I,Excl_informed,sub-26,118,963,8.855,3.209,0.234
I,Excl_informed,sub-26,85,1022,3.450,8.196,-4.306
I,Informed,sub-26,19,1127,3.404,-3.374,3.918
I,Informed,sub-26,30,999,3.480,15.337,-1.371
I,Informed,sub-26,81,919,1.915,-9.191,5.990
I,Excl_known,sub-26,88,1365,11.035,2.900,-2.010
I,Excl_informed,sub-26,17,991,13.777,7.720,2.128
I,Naive,sub-26,38,1296,7.707,-0.490,11.352
I,Informed,sub-26,24,1265,-0.792,1.650,-0.921
I,Excl_known,sub-26,22,957,7.155,2.434,-2.864
I,Informed,sub-26,28,1227,4.604,-3.013,-5.436
I,Naive,sub-26,64,869,13.896,-0.914,1.588
I,Naive,sub-26,5,872,10.491,0.430,0.396
I,Informed,sub-26,117,1247,-3.371,-6.045,0.471
I,Excl_informed,sub-26,27,1511,11.290,-0.096,3.994
I,Naive,sub-26,74,981,-0.882,-1.751,1.846
I,Naive,sub-26,62,1063,6.907,6.595,-9.979
I,Informed,sub-26,116,1033,8.097,6.457,-2.442
I,Naive,sub-26,73,1153,5.535,-2.574,-7.727
I,Informed,sub-26,47,1297,6.240,-4.083,3.439
I,Naive,sub-26,105,1467,7.252,3.594,-2.428
I,Excl_naive,sub-26,97,912,4.457,-1.982,-1.585
I,Excl_naive,sub-26,44,1277,1.148,1.784,-8.384
I,Informed,sub-26,115,1045,0.169,-1.989,-2.911
I,Naive,sub-26,66,1079,2.966,0.798,-1.710
I,Naive,sub-26,32,1189,3.570,0.263,-2.121
II,Excl_naive,sub-26,63,0,-5.047,-15.507,7.659
II,Excl_known,sub-26,34,1647,-7.225,-10.853,5.838
II,Informed,sub-26,77,1255,-0.397,-12.019,8.283
II,Informed,sub-26,114,1252,-5.652,-7.000,5.826
II,Excl_informed,sub-26,85,1132,0.434,-2.202,-7.686
II,Naive,sub-26,102,1587,2.698,-4.364,3.583
II,Excl_known,sub-26,22,805,10.160,-1.141,8.359
II,Naive,sub-26,61,2109,8.264,6.971,5.881
II,Excl_naive,sub-26,91,1256,0.420,-6.354,5.610
II,Informed,sub-26,47,690,2.750,-8.999,7.336
II,Informed,sub-26,116,967,-9.050,-11.288,2.006
II,Excl_informed,sub-26,90,1141,4.806,-4.033,5.403
II,Informed,sub-26,110,1959,4.435,0.186,-4.548
II,Excl_naive,sub-26,10,1718,0.559,-5.163,5.960
II,Excl_naive,sub-26,37,1614,7.596,-6.099,1.623
II,Informed,sub-26,117,1183,-2.415,-3.125,3.927
II,Excl_naive,sub-26,33,1787,-0.441,-6.120,8.528
II,Naive,sub-26,93,1836,-0.486,0.312,-3.182
II,Naive,sub-26,35,1297,4.413,-2.563,6.398
II,Naive,sub-26,101,1663,-7.692,-13.809,6.013
II,Excl_naive,sub-26,45,1633,6.035,-2.702,-1.390
II,Naive,sub-26,69,1061,4.523,-7.498,1.061
II,Informed,sub-26,82,858,-2.396,-7.694,6.597
II,Informed,sub-26,52,1518,3.080,-10.294,-1.561
II,Informed,sub-26,29,1069,3.782,-9.763,2.868
II,Informed,sub-26,89,1602,-6.159,-13.213,-1.035
II,Excl_known,sub-26,88,918,-3.971,-7.056,2.143
II,Naive,sub-26,73,1215,-0.568,-14.931,3.180
II,Naive,sub-26,38,1571,-2.497,-7.473,0.696
II,Informed,sub-26,78,976,5.877,-3.562,6.005
III,Excl_informed,sub-26,85,1601,5.388,-0.822,6.574
III,Excl_known,sub-26,34,652,7.568,-0.304,-1.142
