part,condition,subject_id,item_id,RT,P1,N170,N400
I,Excl_informed,sub-44,17,2132,4.233,2.336,-0.025
I,Naive,sub-44,9,1956,2.127,0.020,-10.504
I,Naive,sub-44,73,1950,7.279,4.102,-12.428
I,Excl_informed,sub-44,110,2148,4.640,-0.537,-5.396
I,Excl_informed,sub-44,109,1757,4.663,7.865,-12.132
I,Informed,sub-44,87,2159,9.074,2.612,5.705
I,Excl_informed,sub-44,108,1530,2.285,2.667,-7.147
I,Naive,sub-44,43,1902,3.554,0.512,-5.321
I,Naive,sub-44,4,2948,9.820,6.253,-1.151
I,Excl_informed,sub-44,50,2813,6.154,3.473,-6.985
I,Naive,sub-44,37,2691,-1.419,4.209,-10.839
I,Naive,sub-44,100,2735,4.419,-1.331,-3.738
I,Informed,sub-44,116,1799,11.533,14.715,-15.195
I,Informed,sub-44,78,1735,8.458,5.805,-0.800
I,Excl_informed,sub-44,82,2408,7.312,4.127,0.168
I,Naive,sub-44,33,2207,0.729,3.377,-14.302
I,Informed,sub-44,27,1521,3.747,-4.399,-0.381
I,Excl_known,sub-44,93,2531,3.676,5.915,1.396
I,Naive,sub-44,8,1774,5.628,4.669,-5.393
I,Informed,sub-44,52,2722,-2.253,2.528,-5.336
I,Excl_known,sub-44,58,1387,-1.927,-5.568,-2.343
I,Excl_naive,sub-44,62,0,-0.387,4.110,-0.963
I,Naive,sub-44,94,1662,3.389,7.389,-3.823
I,Excl_informed,sub-44,114,1822,6.195,2.195,-5.735
I,Naive,sub-44,1,2327,-0.349,1.830,8.704
I,Naive,sub-44,10,1999,2.361,5.227,-7.910
I,Excl_informed,sub-44,117,2248,3.174,2.046,-0.744
I,Naive,sub-44,11,1228,4.789,-0.223,-9.857
I,Naive,sub-44,72,1551,6.847,2.871,-2.490
I,Excl_known,sub-44,90,935,-5.956,1.799,-7.218
I,Naive,sub-44,31,2141,-1.353,4.321,-8.612
I,Naive,sub-44,104,1626,2.996,1.887,-4.769
I,Naive,sub-44,6,1933,6.300,0.467,-2.881
I,Informed,sub-44,21,2105,-1.834,1.686,-0.058
I,Excl_informed,sub-44,106,1713,5.862,0.761,-7.869
I,Naive,sub-44,13,1932,2.473,1.317,-6.046
I,Excl_known,sub-44,26,916,5.397,1.387,-1.797
I,Excl_informed,sub-44,53,2275,4.609,3.770,-0.566
I,Informed,sub-44,107,2486,9.362,0.990,-0.567
I,Naive,sub-44,99,2191,0.896,4.017,-8.348
I,Naive,sub-44,44,1456,10.290,14.458,-6.245
I,Informed,sub-44,119,1893,4.052,4.277,-4.999
I,Informed,sub-44,55,2788,12.070,10.831,-6.362
I,Naive,sub-44,69,1415,8.025,-0.165,0.622
I,Excl_known,sub-44,60,1435,4.562,7.927,-5.960
I,Naive,sub-44,68,2317,-1.043,-1.259,-0.434
I,Informed,sub-44,84,1514,-0.207,-3.997,6.431
I,Excl_informed,sub-44,24,2056,2.077,-4.232,-3.568
I,Naive,sub-44,95,1808,4.061,3.911,2.405
I,Excl_informed,sub-44,111,1820,-0.760,-2.915,-4.410
I,Excl_informed,sub-44,112,2058,2.310,-4.486,2.684
I,Naive,sub-44,65,1218,-0.509,-8.377,-1.295
I,Informed,sub-44,81,1819,4.817,2.476,0.432
I,Excl_informed,sub-44,85,1384,-1.263,-4.790,-1.243
