part,condition,subject_id,item_id,RT,P1,N170,N400
I,Naive,sub-03,87,1673,0.291,3.102,-3.504
I,Naive,sub-03,21,1389,6.114,-4.039,2.157
I,Naive,sub-03,115,1557,8.148,6.583,-0.940
I,Naive,sub-03,90,1015,9.509,3.173,2.835
I,Naive,sub-03,25,1168,-1.869,4.626,0.852
I,Naive,sub-03,88,813,1.868,-0.514,-3.275
I,Excl_informed,sub-03,69,949,3.022,3.452,5.680
I,Naive,sub-03,58,989,-4.102,-3.611,-2.973
I,Naive,sub-03,106,858,12.712,3.868,8.193
I,Naive,sub-03,54,888,6.171,-6.299,1.024
I,Naive,sub-03,24,842,13.347,6.279,-7.732
I,Naive,sub-03,113,1174,0.740,-0.503,5.523
I,Naive,sub-03,78,934,2.278,2.540,-2.700
I,Naive,sub-03,52,1469,2.613,6.797,-2.479
I,Excl_informed,sub-03,93,926,4.631,0.673,0.500
I,Informed,sub-03,12,1131,5.338,1.964,-6.073
I,Informed,sub-03,11,1220,3.895,5.282,-7.251
I,Excl_informed,sub-03,45,1227,-1.115,-6.640,-0.469
I,Naive,sub-03,79,1392,13.882,14.715,-4.810
I,Naive,sub-03,50,1154,4.112,11.565,-1.332
I,Naive,sub-03,48,1205,4.286,-1.192,-5.579
I,Excl_informed,sub-03,61,1556,12.912,1.828,-3.455
I,Naive,sub-03,108,1183,4.379,4.657,1.721
I,Informed,sub-03,105,1435,1.041,-0.291,-0.664
I,Naive,sub-03,83,1330,1.093,0.921,-1.935
I,Informed,sub-03,6,1199,3.746,5.070,0.379
I,Informed,sub-03,34,1576,2.506,3.110,-1.990
I,Naive,sub-03,30,1348,5.473,6.181,-7.885
I,Naive,sub-03,60,1746,3.005,2.271,-3.402
I,Informed,sub-03,64,1762,8.039,-5.086,-1.437
I,Naive,sub-03,56,1451,-0.196,1.246,0.972
I,Excl_known,sub-03,37,1911,8.921,6.072,-5.690
I,Informed,sub-03,2,1626,-0.549,1.978,1.628
I,Excl_known,sub-03,91,1429,-2.715,-2.133,-1.927
I,Naive,sub-03,20,1900,6.466,2.509,-3.387
I,Excl_informed,sub-03,43,1362,1.339,-5.097,5.334
I,Informed,sub-03,42,1272,-4.397,-8.870,2.033
I,Naive,sub-03,77,1428,11.047,9.687,-5.752
I,Naive,sub-03,26,1520,10.262,1.297,-1.779
I,Excl_informed,sub-03,63,1344,-1.668,-1.209,-6.056
I,Informed,sub-03,33,1430,5.986,8.734,-5.742
I,Excl_informed,sub-03,32,1758,3.511,1.966,-4.091
I,Naive,sub-03,51,1530,4.743,-4.918,-0.784
I,Informed,sub-03,44,1472,-0.789,2.530,1.866
I,Naive,sub-03,116,2186,9.591,10.428,-2.306
I,Excl_informed,sub-03,102,1379,-0.036,-1.924,-0.810
I,Excl_known,sub-03,31,1779,3.184,-3.216,-0.172
I,Informed,sub-03,66,1731,7.532,0.113,-6.471
I,Informed,sub-03,96,2099,10.603,2.325,-1.514
I,Informed,sub-03,74,1058,-3.590,-4.392,1.516
I,Informed,sub-03,8,1806,-0.550,3.433,-5.475
I,Naive,sub-03,16,1720,5.843,0.388,3.756
I,Naive,sub-03,107,1826,7.711,2.531,-3.343
I,Naive,sub-03,82,2028,3.014,3.568,-4.230
I,Excl_informed,sub-03,101,2564,1.664,2.967,-3.074
I,Excl_informed,sub-03,75,1263,3.312,-1.503,0.316
I,Naive,sub-03,119,2553,7.852,7.886,-0.396
I,Excl_informed,sub-03,7,2367,-1.729,0.305,1.375
I,Excl_known,sub-03,89,1551,6.993,2.999,-0.157
I,Excl_naive,sub-03,22,2283,2.344,-3.764,-4.131
I,Naive,sub-03,49,1378,-1.768,4.790,-4.452
I,Excl_informed,sub-03,62,1917,10.763,5.831,3.646
I,Excl_informed,sub-03,41,1846,11.611,5.989,-2.213
I,Excl_naive,sub-03,120,1334,0.474,2.631,0.693
I,Excl_informed,sub-03,99,2044,4.750,4.343,7.403
I,Naive,sub-03,23,2582,3.797,-0.072,-4.839
I,Excl_informed,sub-03,98,1529,-6.569,-12.490,-1.035
I,Excl_known,sub-03,17,1448,-2.619,-3.559,-3.441
I,Excl_informed,sub-03,35,1256,6.415,0.982,-3.205
I,Informed,sub-03,70,2124,3.083,0.255,3.186
I,Excl_informed,sub-03,15,2025,1.692,2.920,-3.809
I,Informed,sub-03,14,2060,5.566,1.447,1.374
I,Informed,sub-03,92,2583,-0.009,2.621,-5.857
I,Naive,sub-03,80,2131,8.965,7.781,-1.036
I,Excl_naive,sub-03,57,1958,-5.854,0.396,0.712
I,Naive,sub-03,112,2211,3.099,1.424,0.483
