part,condition,subject_id,item_id,RT,P1,N170,N400
I,Informed,sub-42,17,1839,0.320,-0.147,-1.382
I,Naive,sub-42,13,1357,-0.604,2.538,-14.153
I,Excl_informed,sub-42,118,1585,4.389,0.055,-2.359
I,Informed,sub-42,48,1503,9.595,6.615,-0.526
I,Naive,sub-42,70,1307,1.589,6.158,-6.564
I,Naive,sub-42,73,1343,6.146,8.557,-6.351
I,Informed,sub-42,22,2163,11.705,9.979,-2.907
I,Naive,sub-42,72,1764,4.110,-3.070,-4.497
I,Naive,sub-42,75,1824,0.703,0.366,-4.984
I,Informed,sub-42,86,1606,2.151,-0.821,-6.539
I,Excl_informed,sub-42,83,1523,11.395,14.838,-4.728
I,Informed,sub-42,88,2784,11.819,3.080,-0.777
I,Naive,sub-42,92,1682,-6.217,-4.021,-1.189
I,Naive,sub-42,104,1996,7.929,2.334,1.415
I,Naive,sub-42,100,0,6.192,7.369,1.005
I,Naive,sub-42,37,1028,1.847,2.222,1.704
I,Excl_informed,sub-42,49,1014,0.572,9.167,-1.846
I,Excl_informed,sub-42,111,1028,-6.902,5.832,-9.352
I,Informed,sub-42,52,1227,7.233,7.609,-3.591
I,Naive,sub-42,34,1281,-1.008,-5.866,2.731
I,Naive,sub-42,62,1462,2.815,3.861,2.933
I,Naive,sub-42,44,1118,10.811,10.682,-3.756
I,Excl_informed,sub-42,59,820,-1.011,2.253,-0.154
I,Naive,sub-42,74,780,2.240,4.768,-2.202
I,Naive,sub-42,96,1927,0.757,-3.360,3.783
I,Excl_informed,sub-42,20,1745,-0.056,5.881,-1.674
I,Naive,sub-42,33,1128,-0.762,-1.663,1.854
I,Excl_known,sub-42,40,1486,-3.126,5.891,-10.467
I,Naive,sub-42,65,1761,8.485,10.247,1.675
I,Naive,sub-42,9,1565,3.433,1.574,-1.770
I,Naive,sub-42,7,1326,8.576,3.392,-5.107
I,Naive,sub-42,15,1366,1.292,3.915,-2.858
I,Naive,sub-42,12,1138,-3.420,1.798,2.062
I,Excl_naive,sub-42,2,1335,12.822,0.859,5.104
I,Excl_informed,sub-42,58,1133,6.911,9.890,-2.084
I,Naive,sub-42,41,953,9.271,3.478,-2.115
I,Excl_informed,sub-42,116,903,0.951,-6.013,-0.545
I,Informed,sub-42,87,904,4.631,10.323,-5.517
I,Informed,sub-42,119,984,5.397,1.185,4.415
I,Naive,sub-42,39,1199,-6.680,-5.784,2.646
I,Excl_informed,sub-42,55,958,11.628,12.696,-0.070
I,Excl_informed,sub-42,85,1363,-0.914,-0.018,-2.032
I,Naive,sub-42,14,1279,-1.421,3.276,0.430
I,Informed,sub-42,27,1627,-4.651,-0.608,-0.603
I,Excl_informed,sub-42,46,1383,0.824,7.511,2.731
I,Informed,sub-42,113,1623,3.240,-1.736,-7.118
I,Naive,sub-42,93,1868,11.593,7.333,-0.435
I,Naive,sub-42,97,1085,12.822,11.691,3.752
I,Informed,sub-42,23,819,5.912,10.170,-3.281
I,Naive,sub-42,99,1321,3.868,5.468,-1.264
I,Informed,sub-42,90,986,-7.514,5.122,-4.625
I,Naive,sub-42,94,1873,5.804,6.310,0.481
I,Excl_known,sub-42,50,600,5.522,5.485,2.244
I,Informed,sub-42,112,895,-0.019,6.255,4.573
I,Excl_informed,sub-42,19,926,6.028,0.036,5.797
I,Informed,sub-42,21,1553,6.350,1.813,3.376
I,Naive,sub-42,95,1614,9.546,9.364,-7.032
I,Excl_naive,sub-42,67,1159,3.646,4.575,5.474
I,Informed,sub-42,56,1653,5.937,2.730,3.215
I,Informed,sub-42,78,1216,2.120,5.032,-3.570
I,Informed,sub-42,120,1499,6.251,-2.078,-1.688
I,Naive,sub-42,71,1322,2.876,7.321,-3.598
I,Informed,sub-42,108,985,4.573,2.529,1.219
I,Naive,sub-42,103,1374,-1.551,-3.000,-0.425
I,Informed,sub-42,30,905,4.365,5.610,0.195
I,Informed,sub-42,107,1056,2.459,1.894,9.506
I,Informed,sub-42,80,1114,3.995,3.745,0.916
I,Informed,sub-42,54,1170,0.125,-5.397,-0.522
I,Naive,sub-42,63,1494,0.570,-6.551,3.355
I,Informed,sub-42,47,1126,6.279,7.023,4.705
I,Naive,sub-42,5,1123,0.255,7.434,1.806
I,Excl_informed,sub-42,18,1900,3.657,7.323,-5.567
I,Informed,sub-42,53,1928,1.657,4.437,-4.016
I,Informed,sub-42,16,1532,-4.108,3.227,3.782
I,Naive,sub-42,68,1072,12.081,2.263,-0.863
I,Excl_informed,sub-42,76,1019,14.117,4.376,-5.330
I,Naive,sub-42,105,1143,7.120,9.914,4.609
I,Informed,sub-42,25,866,8.424,5.831,-2.920
I,Informed,sub-42,89,1112,6.400,7.073,2.293
I,Naive,sub-42,8,1333,7.767,6.598,-2.367
I,Informed,sub-42,24,850,8.984,10.103,5.181
I,Naive,sub-42,35,822,2.000,-0.628,1.380
I,Excl_informed,sub-42,114,1000,2.387,0.457,3.920
I,Naive,sub-42,61,796,3.666,4.615,3.171
I,Naive,sub-42,38,1152,7.346,4.221,-1.040
I,Naive,sub-42,43,1123,2.238,-0.569,-2.984
I,Informed,sub-42,28,1400,8.762,18.141,-8.165
I,Naive,sub-42,98,696,6.478,3.694,-1.908
