part,condition,subject_id,item_id,RT,P1,N170,N400
I,Excl_known,sub-36,35,1191,5.286,0.218,-8.221
I,Naive,sub-36,73,1440,-5.504,-2.717,1.087
I,Excl_informed,sub-36,25,1493,-9.210,-5.378,7.067
I,Excl_informed,sub-36,89,1430,-1.277,-6.414,0.951
I,Excl_informed,sub-36,116,2079,-0.650,-0.309,-5.270
I,Naive,sub-36,45,1987,4.368,-1.156,4.131
I,Naive,sub-36,32,1112,-5.277,-4.987,3.303
I,Informed,sub-36,78,1466,-1.034,-3.305,-8.042
I,Excl_known,sub-36,34,1423,3.731,0.013,-5.672
I,Informed,sub-36,88,1345,2.006,-2.014,1.050
I,Excl_informed,sub-36,77,2316,-6.127,-1.974,4.178
I,Informed,sub-36,52,1945,-2.150,-9.843,5.625
I,Naive,sub-36,8,1312,-8.048,-1.663,-6.666
I,Naive,sub-36,36,1413,-5.755,0.576,4.023
I,Excl_informed,sub-36,27,1336,4.321,1.658,0.767
I,Excl_informed,sub-36,48,735,-2.044,-5.777,2.122
I,Naive,sub-36,96,1174,0.429,0.306,-3.765
I,Naive,sub-36,64,1325,8.450,3.335,-7.396
I,Informed,sub-36,84,624,-1.483,-3.481,13.186
I,Naive,sub-36,11,1554,-2.583,-9.496,1.768
I,Excl_known,sub-36,119,2521,2.470,3.558,17.801
I,Excl_informed,sub-36,49,1007,1.518,-7.844,-2.224
I,Informed,sub-36,120,726,-1.634,-8.525,3.928
I,Excl_known,sub-36,111,2526,-12.512,-7.885,-0.583
I,Excl_informed,sub-36,90,1250,9.416,6.153,-6.092
I,Excl_informed,sub-36,114,1287,5.061,-3.456,-1.247
I,Naive,sub-36,3,679,-7.717,-6.742,9.875
I,Naive,sub-36,67,887,-0.728,-6.862,8.856
I,Naive,sub-36,13,991,-7.931,-9.413,-0.797
I,Excl_informed,sub-36,117,1630,1.039,-5.799,3.302
I,Excl_naive,sub-36,103,1218,-6.973,-3.491,-3.857
I,Excl_informed,sub-36,19,0,9.186,0.408,-10.061
I,Excl_informed,sub-36,54,155,3.592,0.810,3.243
I,Naive,sub-36,5,693,5.969,-1.784,-0.633
I,Informed,sub-36,50,518,-6.220,-6.386,0.123
I,Excl_known,sub-36,91,341,6.510,-3.383,4.178
I,Naive,sub-36,72,699,5.000,-8.486,5.167
I,Naive,sub-36,105,650,0.138,-7.152,-2.893
I,Naive,sub-36,44,925,-0.906,6.013,5.736
I,Excl_informed,sub-36,83,853,-3.603,-4.787,-0.344
I,Excl_informed,sub-36,28,802,1.964,-6.375,1.415
I,Naive,sub-36,68,989,6.284,-0.651,-8.653
I,Naive,sub-36,97,821,2.263,-6.560,1.939
I,Excl_informed,sub-36,55,615,1.755,-5.207,8.980
I,Naive,sub-36,74,602,18.759,2.970,-6.335
I,Informed,sub-36,51,774,-4.720,-1.497,6.109
I,Naive,sub-36,63,875,-12.379,-7.427,-19.703
I,Informed,sub-36,17,897,1.336,-0.815,4.187
I,Informed,sub-36,108,639,6.530,3.710,-2.972
I,Naive,sub-36,95,1436,3.277,-0.234,2.351
I,Naive,sub-36,10,916,-7.710,-6.726,12.916
I,Informed,sub-36,110,888,4.797,-2.175,-0.479
I,Naive,sub-36,6,1408,0.064,-3.066,2.906
I,Excl_informed,sub-36,82,804,2.914,2.584,-1.654
I,Informed,sub-36,86,664,0.617,-5.931,6.259
I,Naive,sub-36,40,1254,0.235,-4.003,12.078
I,Naive,sub-36,15,1068,0.657,-4.424,-8.894
I,Naive,sub-36,37,848,4.176,-10.899,12.115
I,Naive,sub-36,94,826,-6.718,10.708,-9.810
I,Excl_informed,sub-36,59,1229,0.486,-1.235,3.298
I,Excl_known,sub-36,107,1504,-1.170,-6.557,-0.121
I,Excl_informed,sub-36,21,709,3.634,0.903,-1.400
I,Naive,sub-36,12,1558,13.448,1.642,-10.060
I,Excl_informed,sub-36,118,817,-11.068,-5.787,7.647
I,Informed,sub-36,26,1186,3.152,-5.597,-0.155
I,Excl_informed,sub-36,23,875,3.298,-3.414,0.274
I,Naive,sub-36,43,602,8.413,2.567,3.099
I,Excl_informed,sub-36,58,1538,3.204,-6.568,6.039
I,Naive,sub-36,9,705,-1.452,-5.184,-1.078
I,Naive,sub-36,104,856,-3.579,-5.910,-1.710
I,Excl_informed,sub-36,106,998,3.098,-0.601,-2.871
I,Excl_informed,sub-36,76,834,-9.593,-12.234,3.898
I,Excl_known,sub-36,22,1160,-1.779,-3.593,5.215
I,Naive,sub-36,102,876,4.450,-6.497,14.029
I,Naive,sub-36,75,730,5.930,-3.278,-0.425
I,Excl_informed,sub-36,16,633,-5.320,-1.186,-23.349
