part,condition,subject_id,item_id,RT,P1,N170,N400
I,Excl_informed,sub-23,94,2371,2.521,-3.868,-0.093
I,Naive,sub-23,83,1374,2.391,-2.505,-2.262
I,Excl_informed,sub-23,36,1678,7.370,5.139,-1.677
I,Excl_naive,sub-23,24,1523,9.854,-0.016,6.360
I,Naive,sub-23,47,2226,-1.030,-8.860,3.534
I,Informed,sub-23,95,1492,5.544,-2.526,1.089
I,Naive,sub-23,119,1524,21.167,2.127,-2.051
I,Informed,sub-23,45,1673,7.925,2.044,-3.202
I,Excl_naive,sub-23,80,1286,8.370,12.617,-12.662
I,Naive,sub-23,76,1476,5.431,8.603,-1.982
I,Naive,sub-23,115,1513,6.425,3.360,1.231
I,Naive,sub-23,26,1677,3.400,13.054,-11.150
I,Naive,sub-23,82,1475,7.739,1.531,-4.119
I,Naive,sub-23,81,1260,12.557,4.567,7.980
I,Naive,sub-23,77,1203,15.151,13.700,2.708
I,Naive,sub-23,88,1508,14.502,3.911,7.219
I,Informed,sub-23,63,1520,3.399,-0.629,-12.133
I,Excl_informed,sub-23,5,2528,4.714,6.410,-8.029
I,Naive,sub-23,54,1097,16.103,9.153,-3.919
I,Excl_informed,sub-23,61,1757,10.318,5.438,-0.967
I,Excl_informed,sub-23,93,1604,-5.466,-6.281,-4.188
I,Excl_informed,sub-23,92,1720,9.902,13.494,-8.130
I,Informed,sub-23,101,1377,7.213,-1.130,-1.370
I,Excl_known,sub-23,105,1556,10.253,3.527,10.555
I,Excl_naive,sub-23,56,1670,11.140,-15.605,6.665
I,Naive,sub-23,21,1009,0.154,4.032,11.676
I,Naive,sub-23,106,730,11.001,8.414,-7.941
I,Excl_informed,sub-23,71,937,8.441,-1.162,5.035
I,Naive,sub-23,29,1299,2.886,5.111,-8.424
I,Naive,sub-23,18,1668,14.760,9.087,-7.431
I,Naive,sub-23,16,1701,4.365,2.525,1.759
I,Informed,sub-23,9,1726,12.390,0.941,4.156
I,Excl_informed,sub-23,65,1667,-1.248,-4.541,1.115
I,Naive,sub-23,50,2022,21.630,14.862,-10.413
I,Informed,sub-23,35,905,7.275,7.257,-7.083
I,Informed,sub-23,44,1789,13.626,15.916,-3.455
I,Excl_informed,sub-23,39,2763,0.667,14.552,-11.534
I,Excl_informed,sub-23,64,962,9.052,4.898,8.061
I,Informed,sub-23,70,1397,0.902,7.826,-12.077
I,Informed,sub-23,33,1259,6.311,9.076,4.999
I,Naive,sub-23,19,1602,-7.395,-4.626,9.200
I,Informed,sub-23,7,1409,14.823,18.339,-0.970
I,Informed,sub-23,15,1570,9.265,0.796,2.375
I,Excl_informed,sub-23,98,1619,8.765,-4.804,5.792
I,Informed,sub-23,38,2216,-6.119,-17.557,7.344
I,Naive,sub-23,90,1955,11.041,10.969,-4.037
I,Informed,sub-23,34,1364,3.111,-3.564,8.192
I,Excl_informed,sub-23,68,1352,12.644,3.020,-2.570
I,Naive,sub-23,85,982,11.852,3.215,-0.740
I,Excl_informed,sub-23,73,863,4.153,11.729,5.148
I,Naive,sub-23,28,936,-4.006,6.205,4.072
I,Informed,sub-23,14,922,2.186,0.284,5.071
I,Excl_informed,sub-23,3,1397,2.583,6.151,1.369
I,Excl_informed,sub-23,104,1945,10.216,10.394,-5.520
