part,condition,subject_id,item_id,RT,P1,N170,N400
I,Naive,sub-12,5,1913,-5.038,-2.267,-6.812
I,Naive,sub-12,95,1650,6.949,8.618,-1.204
I,Excl_informed,sub-12,112,2971,1.630,6.878,-3.441
I,Informed,sub-12,26,0,-11.538,-1.257,-0.914
I,Informed,sub-12,25,1047,-4.646,-1.645,-5.498
I,Excl_informed,sub-12,117,1819,4.865,9.409,-4.304
I,Naive,sub-12,34,2728,3.721,0.195,3.098
I,Informed,sub-12,80,1808,-6.077,-3.190,-1.449
I,Excl_informed,sub-12,23,0,2.277,2.173,-4.044
I,Informed,sub-12,53,1497,3.945,6.347,-6.532
I,Naive,sub-12,37,798,-5.563,1.042,-3.854
I,Excl_informed,sub-12,88,1076,3.676,5.008,-9.970
I,Excl_informed,sub-12,115,791,2.330,0.912,3.874
I,Naive,sub-12,43,1882,5.243,3.804,-2.323
I,Informed,sub-12,24,0,-0.368,1.591,-1.109
I,Excl_known,sub-12,61,2120,5.142,1.320,-0.678
I,Naive,sub-12,2,1162,8.363,3.658,5.634
I,Naive,sub-12,3,2064,3.010,2.802,-5.912
I,Naive,sub-12,75,1419,-0.618,-0.348,-4.259
I,Naive,sub-12,65,1320,3.096,3.865,-7.146
I,Informed,sub-12,111,1753,-1.610,3.335,-3.884
I,Naive,sub-12,97,1352,1.087,9.731,-2.525
I,Informed,sub-12,21,1672,2.939,1.741,2.525
I,Naive,sub-12,92,1991,3.247,4.216,-5.139
I,Excl_informed,sub-12,81,1763,7.717,2.460,-1.982
I,Excl_informed,sub-12,29,0,-1.408,4.322,-6.438
I,Excl_known,sub-12,55,863,1.632,6.361,-1.911
I,Excl_informed,sub-12,48,900,-2.819,-0.792,-0.863
I,Informed,sub-12,57,1309,-2.988,-1.011,-5.036
I,Naive,sub-12,40,1294,-1.910,3.486,-11.481
I,Informed,sub-12,84,891,0.158,-0.489,-3.533
I,Naive,sub-12,98,1250,2.189,-0.917,-2.359
