part,condition,subject_id,item_id,RT,P1,N170,N400
I,Excl_known,sub-20,105,1079,7.075,-0.298,2.711
I,Informed,sub-20,120,2669,11.845,1.615,-5.830
I,Informed,sub-20,19,1471,-0.353,-1.493,-1.556
I,Excl_known,sub-20,108,2595,2.957,3.391,-9.427
I,Excl_known,sub-20,60,682,6.178,7.407,-6.697
I,Excl_informed,sub-20,89,2834,6.391,-2.288,3.502
I,Naive,sub-20,95,1310,-4.000,-2.693,-2.729
I,Naive,sub-20,102,2216,-2.281,1.081,-4.622
I,Informed,sub-20,17,1546,8.426,1.258,1.980
I,Naive,sub-20,68,2155,5.379,-0.790,-8.745
I,Naive,sub-20,12,2311,7.109,-4.726,-3.306
I,Excl_known,sub-20,10,1558,2.428,0.336,-4.052
I,Naive,sub-20,66,1254,1.293,-5.404,3.203
I,Naive,sub-20,75,2833,-1.315,3.860,-5.910
I,Informed,sub-20,26,1103,3.790,-7.987,-5.765
I,Informed,sub-20,24,960,0.029,0.918,1.556
I,Informed,sub-20,88,1354,2.017,-1.546,-5.813
I,Naive,sub-20,32,1136,2.892,-1.892,-3.931
I,Naive,sub-20,7,1330,0.975,-2.080,4.988
I,Naive,sub-20,2,1441,-7.977,-7.378,2.179
I,Informed,sub-20,55,2743,2.720,-3.224,4.991
I,Naive,sub-20,31,1621,7.722,6.631,-3.453
I,Naive,sub-20,11,1597,2.323,-0.705,-6.910
I,Excl_known,sub-20,78,2356,0.782,-7.245,2.972
I,Naive,sub-20,67,1712,3.840,6.636,-2.452
I,Naive,sub-20,100,1825,5.556,-2.735,-1.877
I,Excl_informed,sub-20,82,2132,0.213,0.150,-4.672
I,Naive,sub-20,64,1148,14.433,-0.261,4.018
I,Excl_informed,sub-20,112,0,2.007,1.880,-4.654
I,Excl_informed,sub-20,46,1866,3.700,5.135,4.775
I,Informed,sub-20,51,0,-1.418,5.810,-2.109
I,Excl_informed,sub-20,115,846,4.045,4.028,-0.353
I,Excl_informed,sub-20,59,1627,3.099,-0.938,-3.121
I,Excl_informed,sub-20,29,667,2.481,0.133,2.716
I,Naive,sub-20,6,489,-0.241,-1.185,-3.121
I,Naive,sub-20,1,1985,-1.023,-4.840,-3.121
I,Informed,sub-20,52,1170,-0.306,-1.646,-4.849
I,Excl_naive,sub-20,39,1098,7.258,0.295,0.033
I,Excl_known,sub-20,34,1600,2.149,-0.465,-4.821
I,Informed,sub-20,113,1272,3.854,-7.101,-0.125
I,Informed,sub-20,84,817,-3.228,4.226,-0.733
I,Excl_informed,sub-20,116,1660,9.324,7.799,-0.700
I,Excl_informed,sub-20,48,635,6.967,-3.582,2.742
I,Excl_informed,sub-20,49,797,9.742,1.976,-3.942
I,Excl_informed,sub-20,76,759,4.941,-1.741,3.837
I,Naive,sub-20,62,1468,9.641,2.838,0.926
I,Informed,sub-20,119,1025,7.416,6.441,-3.089
I,Informed,sub-20,87,2046,8.183,13.618,3.601
I,Excl_known,sub-20,53,1115,1.688,-0.144,1.064
I,Naive,sub-20,97,1848,2.486,2.835,1.984
I,Excl_known,sub-20,86,1355,11.203,3.606,2.413
I,Excl_informed,sub-20,27,1157,6.477,-5.628,9.454
I,Naive,sub-20,101,1345,0.050,-5.295,0.714
I,Excl_informed,sub-20,58,1960,9.256,-1.984,0.901
I,Excl_informed,sub-20,118,895,4.599,3.331,-2.404
I,Informed,sub-20,80,2063,1.065,1.787,-2.674
I,Informed,sub-20,22,1661,5.793,2.278,-0.144
I,Informed,sub-20,77,1246,0.509,-3.080,2.520
I,Naive,sub-20,99,1152,5.106,1.446,-3.000
I,Naive,sub-20,70,802,4.897,2.873,5.600
I,Excl_known,sub-20,91,2101,-2.450,2.023,-0.315
I,Excl_known,sub-20,96,1752,9.730,1.714,-1.382
I,Excl_known,sub-20,14,1165,2.675,-5.440,-0.798
I,Naive,sub-20,69,1215,4.345,-2.218,-0.168
I,Excl_naive,sub-20,71,1210,3.658,0.967,-5.475
I,Naive,sub-20,45,1434,4.652,-2.448,0.545
I,Naive,sub-20,74,690,-3.107,-11.652,0.225
I,Naive,sub-20,72,1003,4.987,-0.519,-1.176
I,Informed,sub-20,20,1340,10.124,-3.384,0.642
I,Naive,sub-20,37,1386,3.966,-7.280,-2.595
I,Informed,sub-20,47,1599,4.284,-3.342,-3.488
I,Naive,sub-20,65,1510,5.925,1.091,-1.752
I,Naive,sub-20,93,1428,5.418,0.900,-5.103
I,Informed,sub-20,54,1326,1.699,-5.384,3.078
I,Naive,sub-20,103,1773,3.168,-1.926,-0.640
I,Naive,sub-20,33,2010,6.648,-2.194,-0.885
I,Naive,sub-20,5,2181,2.289,-2.827,0.585
I,Informed,sub-20,56,2009,-1.972,-4.158,-1.782
I,Excl_informed,sub-20,50,2123,2.125,-0.988,-0.398
I,Informed,sub-20,30,2637,4.560,-0.350,2.680
I,Informed,sub-20,117,2644,-3.624,3.811,-2.676
I,Naive,sub-20,92,1169,-5.146,4.868,-1.230
I,Informed,sub-20,25,1709,4.033,1.478,-6.272
I,Excl_informed,sub-20,83,1257,10.525,-2.418,3.487
I,Naive,sub-20,13,1279,3.827,-1.637,-5.579
I,Informed,sub-20,16,938,4.867,-2.131,-2.473
I,Excl_informed,sub-20,90,1657,0.317,2.408,5.498
I,Naive,sub-20,94,692,2.094,-0.167,5.649
I,Naive,sub-20,35,951,3.705,-6.399,1.947
I,Naive,sub-20,8,1066,-2.140,0.508,-1.056
I,Excl_informed,sub-20,114,1269,4.996,1.175,3.823
I,Informed,sub-20,110,1802,4.497,-5.421,-0.369
I,Naive,sub-20,98,952,6.657,-0.672,4.649
I,Naive,sub-20,36,1624,-7.255,-9.106,-1.214
