VPNummer	Version	l_r	Wdh	StimID	Bild	Stichwort1	Stichwort2	Bed	bek_unbek	BedTrigger	Taste	Tastencode	RT
VP_20	2	r	211	121	kaefig.bmp				bekannt	230	4	201	719	
VP_20	2	r	211	105	dieselstandmessgeraet.bmp	Tonpott	trommeln	falsch	unbekannt	222	4	201	1079	
VP_20	2	r	211	120	loetlampe.bmp	Brenner	löten	richtig	unbekannt	221	2	203	2669	
VP_20	2	r	211	19	Brikettpresse.bmp	Briketts	pressen	richtig	unbekannt	221	1	204	1471	
VP_20	2	r	211	108	schluesselloch-cutter.bmp	Schlüsselloch	stanzen	richtig	unbekannt	221	4	201	2595	
VP_20	2	r	211	60	Telegraphier-Geraet.bmp	Botschaft	telegrafieren	richtig	unbekannt	221	4	201	682	
VP_20	2	r	211	89	planimeter.bmp	Zeichnungen	vermessen	richtig	unbekannt	221	2	203	2834	
VP_20	2	r	211	121	dusche.bmp				bekannt	230	4	201	850	
VP_20	2	r	211	121	regenschirm.bmp				bekannt	230	4	201	592	
VP_20	2	r	211	121	saege.bmp				bekannt	230	4	201	598	
VP_20	2	r	211	95	Fischwaage.bmp	Herz	durch Maschine ersetzen	falsch	unbekannt	222	2	203	1310	
VP_20	2	r	211	102	Handzentrifuge.bmp	Lieferungen	abzählen	falsch	unbekannt	222	1	204	2216	
VP_20	2	r	211	121	besen.bmp				bekannt	230	4	201	662	
VP_20	2	r	211	17	grammophonnadel.bmp	Schallplatte	abtasten	richtig	unbekannt	221	1	204	1546	
VP_20	2	r	211	68	Roemisches_Senklot.bmp	Korken	formen	falsch	unbekannt	222	1	204	2155	
VP_20	2	r	211	12	trimmdichgeraet.bmp	Buch	offen halten	falsch	unbekannt	222	1	204	2311	
VP_20	2	r	211	121	rechen.bmp				bekannt	230	4	201	671	
VP_20	2	r	211	4	Unkraut-Jaetzange.bmp	Uhr	mit Wärme betreiben	falsch	unbekannt	222	1	204	1672	
VP_20	2	r	211	10	schreibmaschine.bmp	Pferdehuf	Halt geben	falsch	unbekannt	222	4	201	1558	
VP_20	2	r	211	121	steckdose.bmp				bekannt	230	4	201	535	
VP_20	2	r	211	66	Buecher-Offenhalter.bmp	Sprengstoffexplosion	auslösen	falsch	unbekannt	222	1	204	1254	
VP_20	2	r	211	121	waschbecken.bmp				bekannt	230	4	201	885	
VP_20	2	r	211	121	buegel.bmp				bekannt	230	4	201	504	
VP_20	2	r	211	75	Tabakschneider.bmp	Flaschen	trocknen	falsch	unbekannt	222	1	204	2833	
VP_20	2	r	211	121	nudelholz.bmp				bekannt	230	4	201	562	
